db,strategy,N,n_universe,n_sample,stratify_column,prompt_tokens_est,cost_per_run_gpt4o_usd,csv_path,txt_path
FANTOM5,A_head,25,96932,25,,1122,0.0506,data/grid/A_head/N=25/FANTOM5.csv,data/grid/A_head/N=25/FANTOM5_sample_prompt.txt
FANTOM5,A_head,50,96932,50,,2132,0.0557,data/grid/A_head/N=50/FANTOM5.csv,data/grid/A_head/N=50/FANTOM5_sample_prompt.txt
FANTOM5,A_head,100,96932,100,,3080,0.0604,data/grid/A_head/N=100/FANTOM5.csv,data/grid/A_head/N=100/FANTOM5_sample_prompt.txt
FANTOM5,A_head,200,96932,200,,3080,0.0604,data/grid/A_head/N=200/FANTOM5.csv,data/grid/A_head/N=200/FANTOM5_sample_prompt.txt
FANTOM5,B_random,25,96932,25,,1151,0.0508,data/grid/B_random/N=25/FANTOM5.csv,data/grid/B_random/N=25/FANTOM5_sample_prompt.txt
FANTOM5,B_random,50,96932,50,,2145,0.0557,data/grid/B_random/N=50/FANTOM5.csv,data/grid/B_random/N=50/FANTOM5_sample_prompt.txt
FANTOM5,B_random,100,96932,100,,3080,0.0604,data/grid/B_random/N=100/FANTOM5.csv,data/grid/B_random/N=100/FANTOM5_sample_prompt.txt
FANTOM5,B_random,200,96932,200,,3080,0.0604,data/grid/B_random/N=200/FANTOM5.csv,data/grid/B_random/N=200/FANTOM5_sample_prompt.txt
FANTOM5,C_stratified,25,96932,25,current_chr,1126,0.0506,data/grid/C_stratified/N=25/FANTOM5.csv,data/grid/C_stratified/N=25/FANTOM5_sample_prompt.txt
FANTOM5,C_stratified,50,96932,50,current_chr,2088,0.0554,data/grid/C_stratified/N=50/FANTOM5.csv,data/grid/C_stratified/N=50/FANTOM5_sample_prompt.txt
FANTOM5,C_stratified,100,96932,100,current_chr,3085,0.0604,data/grid/C_stratified/N=100/FANTOM5.csv,data/grid/C_stratified/N=100/FANTOM5_sample_prompt.txt
FANTOM5,C_stratified,200,96932,200,current_chr,3085,0.0604,data/grid/C_stratified/N=200/FANTOM5.csv,data/grid/C_stratified/N=200/FANTOM5_sample_prompt.txt
FANTOM5,D_diversity,25,96932,25,,1232,0.0512,data/grid/D_diversity/N=25/FANTOM5.csv,data/grid/D_diversity/N=25/FANTOM5_sample_prompt.txt
FANTOM5,D_diversity,50,96932,50,,2287,0.0564,data/grid/D_diversity/N=50/FANTOM5.csv,data/grid/D_diversity/N=50/FANTOM5_sample_prompt.txt
FANTOM5,D_diversity,100,96932,100,,3082,0.0604,data/grid/D_diversity/N=100/FANTOM5.csv,data/grid/D_diversity/N=100/FANTOM5_sample_prompt.txt
FANTOM5,D_diversity,200,96932,200,,3082,0.0604,data/grid/D_diversity/N=200/FANTOM5.csv,data/grid/D_diversity/N=200/FANTOM5_sample_prompt.txt
dbSUPER,A_head,25,69022,25,,1659,0.0533,data/grid/A_head/N=25/dbSUPER.csv,data/grid/A_head/N=25/dbSUPER_sample_prompt.txt
dbSUPER,A_head,50,69022,50,,3084,0.0604,data/grid/A_head/N=50/dbSUPER.csv,data/grid/A_head/N=50/dbSUPER_sample_prompt.txt
dbSUPER,A_head,100,69022,100,,3084,0.0604,data/grid/A_head/N=100/dbSUPER.csv,data/grid/A_head/N=100/dbSUPER_sample_prompt.txt
dbSUPER,A_head,200,69022,200,,3084,0.0604,data/grid/A_head/N=200/dbSUPER.csv,data/grid/A_head/N=200/dbSUPER_sample_prompt.txt
dbSUPER,B_random,25,69022,25,,1660,0.0533,data/grid/B_random/N=25/dbSUPER.csv,data/grid/B_random/N=25/dbSUPER_sample_prompt.txt
dbSUPER,B_random,50,69022,50,,3084,0.0604,data/grid/B_random/N=50/dbSUPER.csv,data/grid/B_random/N=50/dbSUPER_sample_prompt.txt
dbSUPER,B_random,100,69022,100,,3085,0.0604,data/grid/B_random/N=100/dbSUPER.csv,data/grid/B_random/N=100/dbSUPER_sample_prompt.txt
dbSUPER,B_random,200,69022,200,,3085,0.0604,data/grid/B_random/N=200/dbSUPER.csv,data/grid/B_random/N=200/dbSUPER_sample_prompt.txt
dbSUPER,C_stratified,25,69022,25,biosample_name,1671,0.0534,data/grid/C_stratified/N=25/dbSUPER.csv,data/grid/C_stratified/N=25/dbSUPER_sample_prompt.txt
dbSUPER,C_stratified,50,69022,50,biosample_name,3089,0.0604,data/grid/C_stratified/N=50/dbSUPER.csv,data/grid/C_stratified/N=50/dbSUPER_sample_prompt.txt
dbSUPER,C_stratified,100,69022,100,biosample_name,3089,0.0604,data/grid/C_stratified/N=100/dbSUPER.csv,data/grid/C_stratified/N=100/dbSUPER_sample_prompt.txt
