experiment,db_name,model,n_runs,n_valid,avg_n_triples,std_n_triples,avg_f1_classes,std_f1_classes,avg_f1_properties,std_f1_properties,avg_mapping_recall,std_mapping_recall,avg_global_score,std_global_score,avg_coverage_annotations,std_coverage_annotations
E1,DiseaseEnhancer,gpt-4o,3,3,41.3333,0.4714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,21.2132
E1,FANTOM5,gpt-4o,3,2,30.6667,22.6471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.3333,116.6667
E1,FANTOM5,gpt-4o-mini,1,0,0.0,0,,0,,0,,0,,0,,0
E1,HACER,gpt-4o,3,2,41.0,30.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.8333,4.1667
E1,dbSUPER,gpt-4o,3,3,55.3333,11.0252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.1111,48.2726
E1,dbSUPER,gpt-4o-mini,1,0,0.0,0,,0,,0,,0,,0,,0
E2,DiseaseEnhancer,gpt-4o,3,1,20.6667,29.2271,0.0,0,0.0,0,0.0,0,0.0,0,340.0,0
E2,FANTOM5,gpt-4o,3,2,40.3333,29.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,75.0
E2,FANTOM5,gpt-4o-mini,1,1,57.0,0,0.0,0,0.0,0,0.0,0,0.0,0,325.0,0
E2,HACER,gpt-4o,3,2,34.0,24.0555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.5,7.5
E2,dbSUPER,gpt-4o,3,3,50.0,7.0711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.7778,29.9794
E2,dbSUPER,gpt-4o-mini,1,1,52.0,0,0.0,0,0.0,0,0.0,0,0.0,0,300.0,0
E3,DiseaseEnhancer,gpt-4o,3,0,0.0,0.0,,0,,0,,0,,0,,0
E3,FANTOM5,gpt-4o,3,0,0.0,0.0,,0,,0,,0,,0,,0
E3,FANTOM5,gpt-4o-mini,1,0,0.0,0,,0,,0,,0,,0,,0
E3,HACER,gpt-4o,3,0,0.0,0.0,,0,,0,,0,,0,,0
E3,dbSUPER,gpt-4o,3,0,0.0,0.0,,0,,0,,0,,0,,0
E3,dbSUPER,gpt-4o-mini,1,0,0.0,0,,0,,0,,0,,0,,0
