file,src,size_bytes,load_ok,load_error,n_literals_sanitized,n_classes,n_obj_props,n_data_props,n_annotations,WMCOnto,NOMOnto,DITM,NACOnto,CBOnto,TMOnto,LCOMOnto,ANOnto,INROnto,RROnto,AROnto,consistent,n_unsatisfiable,n_inferred_classes,reasoner_seconds,reasoner_error,score_structural,score_modularity,score_reusability,score_operability,score_reliability,oquare_global,experiment,db,model,variant,run,eval_seconds,structural_error
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/postprocessed/ontology_run1.ttl,3360,1,,0,3,2,8,0,3.3333333333333335,3.3333333333333335,1,1.0,1.0,0.0,3,0.0,0.0,0.6666666666666666,0.2,True,0,3,0.49,,5.0,4.0,2.33,3.0,5,3.87,E1,FANTOM5,gpt-4o,postprocessed,1,0.67,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/postprocessed/ontology_run2.ttl,2891,1,,0,2,1,7,0,4.0,4.0,1,1.0,0.5,0.0,2,0.0,0.0,0.5,0.125,True,0,2,0.25,,5.0,4.5,2.33,2.5,5,3.87,E1,FANTOM5,gpt-4o,postprocessed,2,0.26,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/postprocessed/ontology_run3.ttl,2505,1,,0,3,1,4,0,1.6666666666666667,1.6666666666666667,1,1.0,0.6666666666666666,0.0,3,0.0,0.0,0.3333333333333333,0.2,True,0,3,0.26,,5.0,4.0,2.33,2.5,5,3.77,E1,FANTOM5,gpt-4o,postprocessed,3,0.26,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/postprocessed/ontology_run1.ttl,3013,1,,0,5,3,3,0,1.2,1.2,1,1.0,1.0,0.0,5,0.0,0.0,0.6,0.5,True,0,5,0.26,,5.0,3.5,2.33,4.0,5,3.97,E1,dbSUPER,gpt-4o,postprocessed,1,0.26,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/postprocessed/ontology_run2.ttl,2951,1,,0,4,2,3,0,1.25,1.25,2,1.25,0.75,0.0,3,0.0,0.25,0.5,0.4,True,0,4,0.25,,5.0,4.0,2.67,3.0,5,3.93,E1,dbSUPER,gpt-4o,postprocessed,2,0.25,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/postprocessed/ontology_run3.ttl,4460,1,,0,5,4,6,0,2.0,2.0,1,1.0,1.0,0.0,5,0.0,0.0,0.8,0.4,True,0,5,0.26,,5.0,3.5,2.33,3.5,5,3.87,E1,dbSUPER,gpt-4o,postprocessed,3,0.27,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/postprocessed/ontology_run1.ttl,3824,1,,0,4,2,5,0,1.75,1.75,1,1.0,0.75,0.0,4,0.0,0.0,0.5,0.2857142857142857,True,0,4,0.25,,5.0,4.0,2.33,3.0,5,3.87,E1,HACER,gpt-4o,postprocessed,1,0.25,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/postprocessed/ontology_run2.ttl,4771,1,,0,6,5,5,0,1.6666666666666667,1.6666666666666667,1,1.0,1.0,0.0,6,0.0,0.0,0.8333333333333334,0.5,True,0,6,0.26,,5.0,3.5,2.33,4.5,5,4.07,E1,HACER,gpt-4o,postprocessed,2,0.27,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/postprocessed/ontology_run3.ttl,3114,1,,0,3,2,8,0,3.3333333333333335,3.3333333333333335,1,1.0,1.0,0.0,3,0.0,0.0,0.6666666666666666,0.2,True,0,3,0.26,,5.0,4.0,2.33,3.0,5,3.87,E1,HACER,gpt-4o,postprocessed,3,0.27,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run1.ttl,2446,1,,0,4,2,3,0,1.25,1.25,1,1.0,0.75,0.0,4,0.0,0.0,0.5,0.4,True,0,4,0.26,,5.0,4.0,2.33,3.0,5,3.87,E1,DiseaseEnhancer,gpt-4o,postprocessed,1,0.27,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run2.ttl,2418,1,,0,4,2,3,0,1.25,1.25,1,1.0,0.75,0.0,4,0.0,0.0,0.5,0.4,True,0,4,0.24,,5.0,4.0,2.33,3.0,5,3.87,E1,DiseaseEnhancer,gpt-4o,postprocessed,2,0.24,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run3.ttl,2352,1,,0,4,2,3,0,1.25,1.25,1,1.0,0.75,0.0,4,0.0,0.0,0.5,0.4,True,0,4,0.25,,5.0,4.0,2.33,3.0,5,3.87,E1,DiseaseEnhancer,gpt-4o,postprocessed,3,0.26,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/postprocessed/ontology_run1.ttl,3679,1,,0,4,3,8,0,2.75,2.75,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.2727272727272727,True,0,4,0.26,,5.0,4.0,2.33,3.5,5,3.97,E2,FANTOM5,gpt-4o,postprocessed,1,0.27,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/postprocessed/ontology_run2.ttl,4127,1,,0,4,3,8,0,2.75,2.75,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.2727272727272727,True,0,4,0.26,,5.0,4.0,2.33,3.5,5,3.97,E2,FANTOM5,gpt-4o,postprocessed,2,0.27,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/postprocessed/ontology_run3.ttl,3343,1,,0,4,3,6,0,2.25,2.25,1,1.0,0.5,0.0,4,0.0,0.0,0.75,0.3333333333333333,True,0,4,0.25,,5.0,4.0,2.33,3.5,5,3.97,E2,FANTOM5,gpt-4o,postprocessed,3,0.26,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/postprocessed/ontology_run1.ttl,2558,1,,0,3,2,5,0,2.3333333333333335,2.3333333333333335,1,1.0,0.6666666666666666,0.0,3,0.0,0.0,0.6666666666666666,0.2857142857142857,True,0,3,0.26,,5.0,4.0,2.33,3.5,5,3.97,E2,dbSUPER,gpt-4o,postprocessed,1,0.26,
