file,experiment,db,model_variant,variant,run,n_uris_total,n_canonical,n_invented,n_standard,n_other,canonical_ratio,overlap_with_gold,jaccard,precision_vs_gold,recall_vs_gold
E1/FANTOM5/gpt-4o_A_head/ontology_run1.ttl,E1,FANTOM5,gpt-4o_A_head,raw,1,19,3,1,15,0,0.75,1,0.0111,0.3333,0.0114
E1/FANTOM5/gpt-4o_A_head/postprocessed/ontology_run1.ttl,E1,FANTOM5,gpt-4o_A_head,postprocessed,1,33,3,15,15,0,0.1667,1,0.0111,0.3333,0.0114
E1/FANTOM5/gpt-4o_B_random/ontology_run1.ttl,E1,FANTOM5,gpt-4o_B_random,raw,1,24,10,0,14,0,1.0,1,0.0103,0.1,0.0114
E1/FANTOM5/gpt-4o_B_random/postprocessed/ontology_run1.ttl,E1,FANTOM5,gpt-4o_B_random,postprocessed,1,24,10,0,14,0,1.0,1,0.0103,0.1,0.0114
E1/FANTOM5/gpt-4o_C_stratified/ontology_run1.ttl,E1,FANTOM5,gpt-4o_C_stratified,raw,1,20,3,1,16,0,0.75,1,0.0111,0.3333,0.0114
E1/FANTOM5/gpt-4o_C_stratified/postprocessed/ontology_run1.ttl,E1,FANTOM5,gpt-4o_C_stratified,postprocessed,1,33,3,14,16,0,0.1765,1,0.0111,0.3333,0.0114
E1/FANTOM5/gpt-4o_D_diversity/ontology_run1.ttl,E1,FANTOM5,gpt-4o_D_diversity,raw,1,27,2,10,15,0,0.1667,1,0.0112,0.5,0.0114
E1/FANTOM5/gpt-4o_D_diversity/postprocessed/ontology_run1.ttl,E1,FANTOM5,gpt-4o_D_diversity,postprocessed,1,27,2,10,15,0,0.1667,1,0.0112,0.5,0.0114
E1/FANTOM5/llama3.1_8b_A_head/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_A_head,raw,1,20,3,1,16,0,0.75,1,0.0111,0.3333,0.0114
E1/FANTOM5/llama3.1_8b_A_head/postprocessed/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_A_head,postprocessed,1,20,3,1,16,0,0.75,1,0.0111,0.3333,0.0114
E1/FANTOM5/llama3.1_8b_B_random/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_B_random,raw,1,23,3,3,17,0,0.5,1,0.0111,0.3333,0.0114
E1/FANTOM5/llama3.1_8b_B_random/postprocessed/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_B_random,postprocessed,1,23,3,3,17,0,0.5,1,0.0111,0.3333,0.0114
E1/FANTOM5/llama3.1_8b_C_stratified/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_C_stratified,raw,1,33,5,10,18,0,0.3333,1,0.0109,0.2,0.0114
E1/FANTOM5/llama3.1_8b_C_stratified/postprocessed/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_C_stratified,postprocessed,1,33,5,10,18,0,0.3333,1,0.0109,0.2,0.0114
E1/FANTOM5/llama3.1_8b_D_diversity/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_D_diversity,raw,1,24,12,1,11,0,0.9231,1,0.0101,0.0833,0.0114
E1/FANTOM5/llama3.1_8b_D_diversity/postprocessed/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_D_diversity,postprocessed,1,35,23,1,11,0,0.9583,1,0.0091,0.0435,0.0114
E1/dbSUPER/gpt-4o_A_head/ontology_run1.ttl,E1,dbSUPER,gpt-4o_A_head,raw,1,19,3,0,16,0,1.0,1,0.0111,0.3333,0.0114
E1/dbSUPER/gpt-4o_A_head/postprocessed/ontology_run1.ttl,E1,dbSUPER,gpt-4o_A_head,postprocessed,1,29,3,10,16,0,0.2308,1,0.0111,0.3333,0.0114
E1/dbSUPER/gpt-4o_B_random/ontology_run1.ttl,E1,dbSUPER,gpt-4o_B_random,raw,1,18,3,0,15,0,1.0,1,0.0111,0.3333,0.0114
E1/dbSUPER/gpt-4o_B_random/postprocessed/ontology_run1.ttl,E1,dbSUPER,gpt-4o_B_random,postprocessed,1,27,3,9,15,0,0.25,1,0.0111,0.3333,0.0114
E1/dbSUPER/gpt-4o_C_stratified/ontology_run1.ttl,E1,dbSUPER,gpt-4o_C_stratified,raw,1,18,3,0,15,0,1.0,1,0.0111,0.3333,0.0114
E1/dbSUPER/gpt-4o_C_stratified/postprocessed/ontology_run1.ttl,E1,dbSUPER,gpt-4o_C_stratified,postprocessed,1,27,3,9,15,0,0.25,1,0.0111,0.3333,0.0114
E1/dbSUPER/gpt-4o_D_diversity/ontology_run1.ttl,E1,dbSUPER,gpt-4o_D_diversity,raw,1,19,3,0,16,0,1.0,1,0.0111,0.3333,0.0114
E1/dbSUPER/gpt-4o_D_diversity/postprocessed/ontology_run1.ttl,E1,dbSUPER,gpt-4o_D_diversity,postprocessed,1,29,3,10,16,0,0.2308,1,0.0111,0.3333,0.0114
E1/dbSUPER/llama3.1_8b_A_head/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_A_head,raw,1,32,6,9,17,0,0.4,1,0.0108,0.1667,0.0114
E1/dbSUPER/llama3.1_8b_A_head/postprocessed/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_A_head,postprocessed,1,32,6,9,17,0,0.4,1,0.0108,0.1667,0.0114
E1/dbSUPER/llama3.1_8b_B_random/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_B_random,raw,1,18,1,1,16,0,0.5,1,0.0114,1.0,0.0114
E1/dbSUPER/llama3.1_8b_B_random/postprocessed/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_B_random,postprocessed,1,18,1,1,16,0,0.5,1,0.0114,1.0,0.0114
E1/dbSUPER/llama3.1_8b_C_stratified/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_C_stratified,raw,1,50,11,22,17,0,0.3333,1,0.0102,0.0909,0.0114
E1/dbSUPER/llama3.1_8b_C_stratified/postprocessed/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_C_stratified,postprocessed,1,50,11,22,17,0,0.3333,1,0.0102,0.0909,0.0114
E1/dbSUPER/llama3.1_8b_D_diversity/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_D_diversity,raw,1,71,29,29,13,0,0.5,1,0.0086,0.0345,0.0114
E1/dbSUPER/llama3.1_8b_D_diversity/postprocessed/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_D_diversity,postprocessed,1,71,29,29,13,0,0.5,1,0.0086,0.0345,0.0114
E3/DiseaseEnhancer/gpt-4o_legacy/ontology_run1.ttl,E3,DiseaseEnhancer,gpt-4o_legacy,raw,1,52,34,0,17,1,1.0,28,0.2947,0.8,0.3182
E3/DiseaseEnhancer/gpt-4o_legacy/ontology_run2.ttl,E3,DiseaseEnhancer,gpt-4o_legacy,raw,2,51,36,0,14,1,1.0,28,0.2887,0.7568,0.3182
E3/DiseaseEnhancer/gpt-4o_legacy/ontology_run3.ttl,E3,DiseaseEnhancer,gpt-4o_legacy,raw,3,54,36,0,17,1,1.0,29,0.3021,0.7838,0.3295
E3/DiseaseEnhancer/gpt-4o_legacy/postprocessed/ontology_run1.ttl,E3,DiseaseEnhancer,gpt-4o_legacy,postprocessed,1,54,36,0,17,1,1.0,27,0.2755,0.7297,0.3068
E3/DiseaseEnhancer/gpt-4o_legacy/postprocessed/ontology_run2.ttl,E3,DiseaseEnhancer,gpt-4o_legacy,postprocessed,2,53,38,0,14,1,1.0,27,0.27,0.6923,0.3068
E3/DiseaseEnhancer/gpt-4o_legacy/postprocessed/ontology_run3.ttl,E3,DiseaseEnhancer,gpt-4o_legacy,postprocessed,3,55,37,0,17,1,1.0,28,0.2857,0.7368,0.3182
E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run1.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,raw,1,40,17,0,14,9,1.0,8,0.0792,0.381,0.0909
E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run2.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,raw,2,42,18,0,14,10,1.0,8,0.0777,0.3478,0.0909
E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run3.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,raw,3,52,12,23,14,3,0.3429,5,0.0515,0.3571,0.0568
E3/DiseaseEnhancer/gpt-4o_ragapi/postprocessed/ontology_run1.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,postprocessed,1,40,17,0,14,9,1.0,8,0.0792,0.381,0.0909
E3/DiseaseEnhancer/gpt-4o_ragapi/postprocessed/ontology_run2.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,postprocessed,2,42,18,0,14,10,1.0,8,0.0777,0.3478,0.0909
