experiment,db_name,model,n_runs,n_valid,avg_n_triples,std_n_triples,avg_f1_classes,std_f1_classes,avg_f1_properties,std_f1_properties,avg_mapping_recall,std_mapping_recall,avg_global_score,std_global_score,avg_coverage_annotations,std_coverage_annotations
E1,DiseaseEnhancer,gpt-4o,3,3,49.0,11.3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.3333,25.9272
E1,DiseaseEnhancer,llama3.1:8b,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,FANTOM5,gpt-4o,3,1,16.6667,23.5702,0.0,0,0.0,0,0.0,0,0.0,0,500.0,0
E1,FANTOM5,gpt-4o:A:head,1,0,0.0,0,,0,,0,,0,,0,,0
E1,FANTOM5,gpt-4o:B:random,1,1,39.0,0,0.0,0,0.0,0,0.0,0,0.0,0,800.0,0
E1,FANTOM5,gpt-4o:C:stratified,1,0,0.0,0,,0,,0,,0,,0,,0
E1,FANTOM5,gpt-4o:D:diversity,1,1,45.0,0,0.0,0,0.0,0,0.0,0,0.0,0,333.3333,0
E1,FANTOM5,llama3.1:8b,3,3,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0
E1,FANTOM5,llama3.1:8b:A:head,1,0,0.0,0,,0,,0,,0,,0,,0
E1,FANTOM5,llama3.1:8b:B:random,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,FANTOM5,llama3.1:8b:C:stratified,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,FANTOM5,llama3.1:8b:D:diversity,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,HACER,gpt-4o,3,3,50.3333,3.3993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.6667,94.2809
E1,HACER,qwen2.5-coder:7b,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,dbSUPER,gpt-4o,3,2,39.3333,28.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.6667,48.3334
E1,dbSUPER,gpt-4o:A:head,1,0,0.0,0,,0,,0,,0,,0,,0
E1,dbSUPER,gpt-4o:B:random,1,0,0.0,0,,0,,0,,0,,0,,0
E1,dbSUPER,gpt-4o:C:stratified,1,0,0.0,0,,0,,0,,0,,0,,0
E1,dbSUPER,gpt-4o:D:diversity,1,0,0.0,0,,0,,0,,0,,0,,0
E1,dbSUPER,llama3.1:8b,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,dbSUPER,llama3.1:8b:A:head,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,dbSUPER,llama3.1:8b:B:random,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,dbSUPER,llama3.1:8b:C:stratified,3,0,0.0,0.0,,0,,0,,0,,0,,0
E1,dbSUPER,llama3.1:8b:D:diversity,3,3,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.3333,0.0
E2,DiseaseEnhancer,gpt-4o,3,0,0.0,0.0,,0,,0,,0,,0,,0
E2,DiseaseEnhancer,llama3.1:8b,3,0,0.0,0.0,,0,,0,,0,,0,,0
