N,db,model,n_runs,canonical_ratio_mean,recall_mean,cq_mean_of_15
25,FANTOM5,gpt-4o,3,0.797,0.091,0.0
25,FANTOM5,llama3.1_8b,3,1.0,0.091,2.0
25,dbSUPER,gpt-4o,3,0.288,0.057,2.33
25,dbSUPER,llama3.1_8b,3,1.0,0.08,2.33
50,FANTOM5,gpt-4o,3,0.875,0.102,0.0
50,FANTOM5,llama3.1_8b,3,1.0,0.087,1.0
50,dbSUPER,gpt-4o,3,0.286,0.057,2.67
50,dbSUPER,llama3.1_8b,3,1.0,0.08,2.33
100,FANTOM5,gpt-4o,3,0.799,0.11,1.0
100,FANTOM5,llama3.1_8b,3,0.933,0.098,0.33
100,dbSUPER,gpt-4o,3,0.292,0.057,2.33
100,dbSUPER,llama3.1_8b,3,0.877,0.068,0.67
200,FANTOM5,gpt-4o,3,0.849,0.091,0.0
200,FANTOM5,llama3.1_8b,3,0.777,0.095,0.0
200,dbSUPER,gpt-4o,3,0.215,0.057,2.67
200,dbSUPER,llama3.1_8b,3,0.974,0.098,2.33
