experiment,db,run,parse_before,parse_after,added,unresolved,n_escaped,size_before,size_after,src,dst
E3,DiseaseEnhancer,1,1,1,,,0,2358,2358,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/ontology_run1.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/postprocessed/ontology_run1.ttl
E3,DiseaseEnhancer,2,1,1,,,0,2358,2358,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/ontology_run2.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/postprocessed/ontology_run2.ttl
E3,DiseaseEnhancer,3,1,1,,,0,3473,3473,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/ontology_run3.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/postprocessed/ontology_run3.ttl
E3,FANTOM5,1,0,0,,,0,3328,3328,results/E3/FANTOM5/llama3.1_8b_ragapi_C1/ontology_run1.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C1/postprocessed/ontology_run1.ttl
E3,FANTOM5,2,0,0,,,0,2503,2503,results/E3/FANTOM5/llama3.1_8b_ragapi_C1/ontology_run2.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C1/postprocessed/ontology_run2.ttl
E3,FANTOM5,3,0,1,crm,,0,2585,2633,results/E3/FANTOM5/llama3.1_8b_ragapi_C1/ontology_run3.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C1/postprocessed/ontology_run3.ttl
E3,HACER,1,0,0,crm,,0,2666,2714,results/E3/HACER/llama3.1_8b_ragapi_C1/ontology_run1.ttl,results/E3/HACER/llama3.1_8b_ragapi_C1/postprocessed/ontology_run1.ttl
E3,HACER,2,0,0,crm,,0,3372,3420,results/E3/HACER/llama3.1_8b_ragapi_C1/ontology_run2.ttl,results/E3/HACER/llama3.1_8b_ragapi_C1/postprocessed/ontology_run2.ttl
E3,HACER,3,0,0,crm,,0,2789,2837,results/E3/HACER/llama3.1_8b_ragapi_C1/ontology_run3.ttl,results/E3/HACER/llama3.1_8b_ragapi_C1/postprocessed/ontology_run3.ttl
E3,dbSUPER,1,1,1,,,0,3257,3257,results/E3/dbSUPER/llama3.1_8b_ragapi_C1/ontology_run1.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C1/postprocessed/ontology_run1.ttl
E3,dbSUPER,2,1,1,,,0,3074,3074,results/E3/dbSUPER/llama3.1_8b_ragapi_C1/ontology_run2.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C1/postprocessed/ontology_run2.ttl
E3,dbSUPER,3,0,0,crm,,0,2006,2054,results/E3/dbSUPER/llama3.1_8b_ragapi_C1/ontology_run3.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C1/postprocessed/ontology_run3.ttl
E3,DiseaseEnhancer,1,0,0,,,0,3573,3573,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/ontology_run1.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/postprocessed/ontology_run1.ttl
E3,DiseaseEnhancer,2,0,0,,,0,3033,3033,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/ontology_run2.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/postprocessed/ontology_run2.ttl
E3,DiseaseEnhancer,3,0,0,,,0,3474,3474,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/ontology_run3.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C2/postprocessed/ontology_run3.ttl
E3,FANTOM5,1,0,0,,,0,2909,2909,results/E3/FANTOM5/llama3.1_8b_ragapi_C2/ontology_run1.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C2/postprocessed/ontology_run1.ttl
E3,FANTOM5,2,0,0,crm,,0,2737,2785,results/E3/FANTOM5/llama3.1_8b_ragapi_C2/ontology_run2.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C2/postprocessed/ontology_run2.ttl
E3,FANTOM5,3,1,1,,,0,2003,2003,results/E3/FANTOM5/llama3.1_8b_ragapi_C2/ontology_run3.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C2/postprocessed/ontology_run3.ttl
E3,HACER,1,0,1,crm,,0,3619,3667,results/E3/HACER/llama3.1_8b_ragapi_C2/ontology_run1.ttl,results/E3/HACER/llama3.1_8b_ragapi_C2/postprocessed/ontology_run1.ttl
E3,HACER,2,0,0,,,0,2091,2091,results/E3/HACER/llama3.1_8b_ragapi_C2/ontology_run2.ttl,results/E3/HACER/llama3.1_8b_ragapi_C2/postprocessed/ontology_run2.ttl
E3,HACER,3,1,1,,,0,2519,2519,results/E3/HACER/llama3.1_8b_ragapi_C2/ontology_run3.ttl,results/E3/HACER/llama3.1_8b_ragapi_C2/postprocessed/ontology_run3.ttl
E3,dbSUPER,1,1,1,,,0,3407,3407,results/E3/dbSUPER/llama3.1_8b_ragapi_C2/ontology_run1.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C2/postprocessed/ontology_run1.ttl
E3,dbSUPER,2,1,1,,,0,3653,3653,results/E3/dbSUPER/llama3.1_8b_ragapi_C2/ontology_run2.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C2/postprocessed/ontology_run2.ttl
E3,dbSUPER,3,0,0,,,0,2109,2109,results/E3/dbSUPER/llama3.1_8b_ragapi_C2/ontology_run3.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C2/postprocessed/ontology_run3.ttl
E3,DiseaseEnhancer,1,1,1,,,0,2388,2388,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/ontology_run1.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/postprocessed/ontology_run1.ttl
E3,DiseaseEnhancer,2,1,1,,,0,1770,1770,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/ontology_run2.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/postprocessed/ontology_run2.ttl
E3,DiseaseEnhancer,3,1,1,,,0,2358,2358,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/ontology_run3.ttl,results/E3/DiseaseEnhancer/llama3.1_8b_ragapi_C3/postprocessed/ontology_run3.ttl
E3,FANTOM5,1,0,1,crm,,0,2510,2558,results/E3/FANTOM5/llama3.1_8b_ragapi_C3/ontology_run1.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C3/postprocessed/ontology_run1.ttl
E3,FANTOM5,2,0,1,crm,,0,2497,2545,results/E3/FANTOM5/llama3.1_8b_ragapi_C3/ontology_run2.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C3/postprocessed/ontology_run2.ttl
E3,FANTOM5,3,0,0,,,0,2825,2825,results/E3/FANTOM5/llama3.1_8b_ragapi_C3/ontology_run3.ttl,results/E3/FANTOM5/llama3.1_8b_ragapi_C3/postprocessed/ontology_run3.ttl
E3,HACER,1,0,0,,,0,3216,3216,results/E3/HACER/llama3.1_8b_ragapi_C3/ontology_run1.ttl,results/E3/HACER/llama3.1_8b_ragapi_C3/postprocessed/ontology_run1.ttl
E3,HACER,2,0,0,,,0,4374,4374,results/E3/HACER/llama3.1_8b_ragapi_C3/ontology_run2.ttl,results/E3/HACER/llama3.1_8b_ragapi_C3/postprocessed/ontology_run2.ttl
E3,HACER,3,0,0,,,0,2518,2518,results/E3/HACER/llama3.1_8b_ragapi_C3/ontology_run3.ttl,results/E3/HACER/llama3.1_8b_ragapi_C3/postprocessed/ontology_run3.ttl
E3,dbSUPER,1,1,1,,,0,2642,2642,results/E3/dbSUPER/llama3.1_8b_ragapi_C3/ontology_run1.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C3/postprocessed/ontology_run1.ttl
E3,dbSUPER,2,1,1,,,0,2683,2683,results/E3/dbSUPER/llama3.1_8b_ragapi_C3/ontology_run2.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C3/postprocessed/ontology_run2.ttl
E3,dbSUPER,3,0,0,,,0,2930,2930,results/E3/dbSUPER/llama3.1_8b_ragapi_C3/ontology_run3.ttl,results/E3/dbSUPER/llama3.1_8b_ragapi_C3/postprocessed/ontology_run3.ttl
