# Base de datos: FANTOM5
# Descripción: Enhancers activos identificados por CAGE-seq
# Fuente: https://fantom.gsc.riken.jp/5/
# Dimensiones totales: 96932 filas, 30 columnas
# Filas en esta muestra: 25
# Estrategia: D_diversity (máxima diversidad léxica)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000081908	chr10	18430951	18431281	hg19	chr10	18142022	18142352	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	CACNB2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000128885	chr6	57325457	57325813	hg19	chr6	60353611	60353968	hg38	0.95	1.00280112044818	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000139857	chrX	52949996	52950343	hg19	chrX	52920806	52921152	hg38	0.95	0.997126436781609	-	-	24670763	-	CAGE	-	FANTOM5	KDM5C	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000114203	chr22	42527695	42528060	hg19	chr22	42131693	42132053	hg38	0.95	0.986338797814208	-	-	24670763	-	CAGE	-	FANTOM5	CYP2D6	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000117000	chr3	195258657	195259038	hg19	chr3	195531856	195532236	hg38	0.95	0.99738219895288	-	-	24670763	-	CAGE	-	FANTOM5	PPP1R2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000099112	chr17	34481661	34482037	hg19	chr17	36154281	36154664	hg38	0.95	1.01856763925729	-	-	24670763	-	CAGE	-	FANTOM5	GGNBP2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000104862	chr19	8749433	8750038	hg19	chr19	8639978	8640578	hg38	0.95	0.991749174917492	-	-	24670763	-	CAGE	-	FANTOM5	MYO1F	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000085977	chr11	57713900	57713912	hg19	chr11	57946428	57946440	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	UBE2L6	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000090693	chr13	114147699	114148153	hg19	chr13	113493384	113493838	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	GRTP1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000130674	chr7	151535790	151536675	hg19	chr7	151838704	151839589	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	PRKAG2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000089374	chr12	65176068	65176517	hg19	chr12	64782288	64782737	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	RASSF3	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000101773	chr18	33407474	33407836	hg19	chr18	35827510	35827872	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ZNF24	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000123570	chr5	176245417	176245632	hg19	chr5	176818416	176818631	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	UNC5A	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000111311	chr20	43023129	43023488	hg19	chr20	44394489	44394848	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	HNF4A	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000105648	chr2	131148815	131149203	hg19	chr2	130391242	130391630	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	CCDC115	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000119542	chr4	154269495	154269528	hg19	chr4	153348343	153348376	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	MND1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000079249	chr1	40851431	40851768	hg19	chr1	40385759	40386096	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	SMAP2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000094858	chr15	51619340	51619705	hg19	chr15	51327143	51327508	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	TNFAIP8L3	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000096352	chr16	10927183	10927207	hg19	chr16	10833326	10833350	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	CLEC16A	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000135466	chr8	65284864	65285259	hg19	chr8	64372307	64372702	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	BHLHE22	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000136501	chr9	115606684	115606763	hg19	chr9	112844404	112844483	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ZFP37	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000093088	chr14	61934250	61934452	hg19	chr14	61467532	61467734	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	HIF1A	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000113327	chr21	46824359	46824541	hg19	chr21	45404444	45404626	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	COL18A1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000140196	chrY	2871660	2871926	hg19	chrY	3003619	3003885	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ZFY	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000139091	chrX	13018378	13018636	hg19	chrX	13000259	13000517	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	TMSB4X	24670763	expression correlation	-	-	-	-	-	-	-	-	-
