crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample_name,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refseq_ID,mutation_PMID,mutation_method
CRMHS00027685658,chr20,61883425,61888283,hg19,chr20,63252073,63256931,hg38,0.95,1,DE_00691,-,27723759,-,-,-,DiseaseEnhancer,NKAIN4,27723759,-,-,-,-,DOID:1612,27723759,-,-,-,-
CRMHS00000005790,chr10,43581056,43583056,hg19,chr10,43085608,43087608,hg38,0.95,1,DE_00513,-,25839327,-,-,-,DiseaseEnhancer,RET,25839327,-,-,-,-,DOID:10487,25839327,-,rs2435357,25839327,-
CRMHS00000006099,chr8,128398602,128417000,hg19,chr8,127386357,127404755,hg38,0.95,1,DE_00377,-,23226612,-,-,-,DiseaseEnhancer,CCAT1,23226612,-,-,-,-,mesh:D011471,23226612,-,rs6983267,23226612,-
CRMHS00027685721,chr4,49141844,49143844,hg19,chr4,49139827,49141827,hg38,0.95,1,DE_00687,-,27723759,-,-,-,DiseaseEnhancer,OCIAD2,27723759,-,-,-,-,OMIM:114480,27723759,-,-,-,-
CRMHS00000006123,chr9,22093330,22095330,hg19,chr9,22093331,22095331,hg38,0.95,1,DE_00578,-,26487755,-,-,-,DiseaseEnhancer,CDKN2A,26487755,-,-,-,-,mesh:D003324,26487755,-,rs4977757,26487755,-
CRMHS00000005969,chr3,140438276,140438409,hg19,chr3,140719434,140719567,hg38,0.95,1,DE_00280,-,19543368,-,-,-,DiseaseEnhancer,FOXL2,19543368,-,-,-,-,mesh:D016569,19543368,-,-,-,-
CRMHS00000005749,chr1,121111052,121113052,hg19,chr1,121369191,121371191,hg38,0.95,1,DE_00520,-,21738711,-,-,-,DiseaseEnhancer,NOTCH2,21738711,-,-,-,-,DOID:1612,21738711,-,rs2580520,21738711,-
CRMHS00027685535,chrX,8640202,8640600,hg19,chrX,8672161,8672559,hg38,0.95,1,DE_00790,-,27869826,-,-,-,DiseaseEnhancer,TBL1X,27869826,-,-,-,-,DOID:3571,27869826,-,-,-,-
CRMHS00027685532,chrX,128374202,128374800,hg19,chrX,129240225,129240823,hg38,0.95,1,DE_00891,-,27869826,-,-,-,DiseaseEnhancer,SMARCA1,27869826,-,-,-,-,DOID:5517,27869826,-,-,-,-
CRMHS00027685518,chr8,27449602,27475600,hg19,chr8,27592085,27618083,hg38,0.95,1,DE_01027,-,28973302,-,-,-,DiseaseEnhancer,PTK2B,28973302,-,-,-,-,DOID:10652,28973302,-,rs2279590,28973302,-
