crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample_name,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refsnp_ID,mutation_PMID,mutation_method
CRMHS00000020104,chr11,6339234,6344196,hg19,chr11,6318004,6322966,hg38,0.95,1,SE_36733,https://asntech.org/dbsuper/details.php?se_id=SE_36733,24119843,HMEC,H3K27ac,super-enhancer,dbSUPER,CAVIN3,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000074521,chrX,38721850,38797142,hg19,chrX,38862597,38937888,hg38,0.95,0.9999867,SE_66079,https://asntech.org/dbsuper/details.php?se_id=SE_66079,24332044,Ly1,BRD4,super-enhancer,dbSUPER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000007100,chr1,145426981,145458085,hg19,chr1,145977002,146008048,hg38,0.95,0.998135348014789,SE_67213,https://asntech.org/dbsuper/details.php?se_id=SE_67213,23582323,MM1S,MED1,super-enhancer,dbSUPER,TXNIP,23582323,closest,-,-,-,-,-,-,-,-,-
CRMHS00000052043,chr22,38693213,38733127,hg19,chr22,38297207,38337122,hg38,0.95,1.000025,SE_64669,https://asntech.org/dbsuper/details.php?se_id=SE_64669,26438538,NHEK,H3K27ac,super-enhancer,dbSUPER,CSNK1E,26438538,closest,-,-,-,-,-,-,-,-,-
CRMHS00000060176,chr5,16711903,16742172,hg19,chr5,16711794,16742063,hg38,0.95,1,SE_63448,https://asntech.org/dbsuper/details.php?se_id=SE_63448,25490451,NCI-H69,H3K27ac,super-enhancer,dbSUPER,RETREG1,25490451,closest,-,-,-,-,-,-,-,-,-
CRMHS00000062656,chr6,138176499,138206038,hg19,chr6,137855362,137884901,hg38,0.95,1,SE_66482,https://asntech.org/dbsuper/details.php?se_id=SE_66482,25043025,Jurkat,H3K27ac,super-enhancer,dbSUPER,TNFAIP3,25043025,closest,-,-,-,-,-,-,-,-,-
CRMHS00000016417,chr10,69833777,69880236,hg19,chr10,68074020,68120479,hg38,0.95,1,SE_68615,https://asntech.org/dbsuper/details.php?se_id=SE_68615,26337082,TC71,H3K27ac,super-enhancer,dbSUPER,HERC4,26337082,closest,-,-,-,-,-,-,-,-,-
CRMHS00000055972,chr3,5466890,5507157,hg19,chr3,5425204,5465470,hg38,0.95,0.9999752,SE_60012,https://asntech.org/dbsuper/details.php?se_id=SE_60012,24332044,Ly4,H3K27ac,super-enhancer,dbSUPER,MIR4790,24332044,closest,-,-,-,-,-,-,-,-,-
CRMHS00000068362,chr7,74263906,74268483,hg19,chr7,74847585,74852187,hg38,0.95,1.005461,SE_43053,https://asntech.org/dbsuper/details.php?se_id=SE_43053,24119843,Lung,H3K27ac,super-enhancer,dbSUPER,GTF2IRD2,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000040395,chr19,18109234,18175103,hg19,chr19,17998425,18064293,hg38,0.95,0.9999848,SE_05917,https://asntech.org/dbsuper/details.php?se_id=SE_05917,24119843,Brain Hippocampus Middle,H3K27ac,super-enhancer,dbSUPER,ARRDC2,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000050267,chr21,35303660,35325108,hg19,chr21,33931356,33952805,hg38,0.95,1.000047,SE_18597,https://asntech.org/dbsuper/details.php?se_id=SE_18597,24119843,CD4p CD25- Il17- PMAstim Th,H3K27ac,super-enhancer,dbSUPER,ATP5PO,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000057748,chr4,40291010,40319654,hg19,chr4,40289390,40317637,hg38,0.95,0.9861407,SE_31005,https://asntech.org/dbsuper/details.php?se_id=SE_31005,24119843,Fetal Thymus,H3K27ac,super-enhancer,dbSUPER,RHOH,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000031652,chr15,99644532,99690461,hg19,chr15,99104329,99150256,hg38,0.95,0.9999565,SE_41005,https://asntech.org/dbsuper/details.php?se_id=SE_41005,24119843,Left Ventricle,H3K27ac,super-enhancer,dbSUPER,SYNM,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000042801,chr2,102641250,102687870,hg19,chr2,102024788,102071410,hg38,0.95,1.000043,SE_44370,https://asntech.org/dbsuper/details.php?se_id=SE_44370,24119843,NHDF-Ad,H3K27ac,super-enhancer,dbSUPER,RFX8,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000069902,chr8,145637836,145656909,hg19,chr8,144412452,144431526,hg38,0.95,1.000052,SE_50672,https://asntech.org/dbsuper/details.php?se_id=SE_50672,24119843,Sigmoid Colon,H3K27ac,super-enhancer,dbSUPER,SLC39A4,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000038290,chr17,903877,1038610,hg19,chr17,1000637,1135395,hg38,0.95,1.000186,SE_65254,https://asntech.org/dbsuper/details.php?se_id=SE_65254,26438538,Pancreatic islets,H3K27ac,super-enhancer,dbSUPER,ABR,26438538,closest,-,-,-,-,-,-,-,-,-
CRMHS00000038835,chr18,3592965,3627640,hg19,chr18,3592967,3627641,hg38,0.95,0.9999712,SE_57446,https://asntech.org/dbsuper/details.php?se_id=SE_57446,24119843,VACO 503,H3K27ac,super-enhancer,dbSUPER,DLGAP1-AS1,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000031839,chr16,154617,171086,hg19,chr16,104619,121087,hg38,0.95,0.9999393,SE_12513,https://asntech.org/dbsuper/details.php?se_id=SE_12513,24119843,CD34 adult,H3K27ac,super-enhancer,dbSUPER,NPRL3,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000050003,chr20,62305260,62334757,hg19,chr20,63673907,63703405,hg38,0.95,1.000034,SE_34303,https://asntech.org/dbsuper/details.php?se_id=SE_34303,24119843,HCT-116,H3K27ac,super-enhancer,dbSUPER,TNFRSF6B,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000027181,chr14,107238064,107261110,hg19,chr14,106829837,106852895,hg38,0.95,1.000521,SE_62043,https://asntech.org/dbsuper/details.php?se_id=SE_62043,24332044,Toledo,H3K27ac,super-enhancer,dbSUPER,LINC00221,24332044,closest,-,-,-,-,-,-,-,-,-
CRMHS00000024957,chr12,7057416,7072760,hg19,chr12,6948253,6963597,hg38,0.95,1,SE_19322,https://asntech.org/dbsuper/details.php?se_id=SE_19322,24119843,CD4p CD25- Il17p PMAstim Th17,H3K27ac,super-enhancer,dbSUPER,PTPN6,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000025770,chr13,20435181,20439884,hg19,chr13,19861041,19865744,hg38,0.95,1,SE_07535,https://asntech.org/dbsuper/details.php?se_id=SE_07535,24119843,Brain Hippocampus Middle 150,H3K27ac,super-enhancer,dbSUPER,ZMYM5,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000072761,chr9,138868562,138905038,hg19,chr9,135976716,136013192,hg38,0.95,1,SE_30500,https://asntech.org/dbsuper/details.php?se_id=SE_30500,24119843,Fetal Muscle,H3K27ac,super-enhancer,dbSUPER,UBAC1,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000021314,chr11,76731736,76807982,hg19,chr11,77020692,77096936,hg38,0.95,0.999973769459782,SE_31604,https://asntech.org/dbsuper/details.php?se_id=SE_31604,24119843,Gastric,H3K27ac,super-enhancer,dbSUPER,CAPN5,24119843,closest,-,-,-,-,-,-,-,-,-
