# Base de datos: SCREEN
# Descripción: Search Candidate Regulatory Elements by ENCODE (cCREs)
# Fuente: https://screen.encodeproject.org/
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00026382015	chr1	100004290	100004635	hg38	chr1	100004290	100004635	hg38	-	-	EH38E2827269	https://screen.encodeproject.org/search/?q=EH38E2827269&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026382015	chr1	100004290	100004635	hg38	chr1	100004290	100004635	hg38	-	-	EH38E2827269	https://screen.encodeproject.org/search/?q=EH38E2827269&assembly=GRCh38	32728249	-	ChIP-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026382016	chr1	100021401	100021691	hg38	chr1	100021401	100021691	hg38	-	-	EH38E1371457	https://screen.encodeproject.org/search/?q=EH38E1371457&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026382016	chr1	100021401	100021691	hg38	chr1	100021401	100021691	hg38	-	-	EH38E1371457	https://screen.encodeproject.org/search/?q=EH38E1371457&assembly=GRCh38	32728249	-	ChIP-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026382017	chr1	100028770	100029117	hg38	chr1	100028770	100029117	hg38	-	-	EH38E2827272	https://screen.encodeproject.org/search/?q=EH38E2827272&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026382413	chr1	101112480	101112709	hg38	chr1	101112480	101112709	hg38	-	-	EH38E1372121	https://screen.encodeproject.org/search/?q=EH38E1372121&assembly=GRCh38	32728249	-	ChIP-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026382950	chr1	105485220	105485566	hg38	chr1	105485220	105485566	hg38	-	-	EH38E1373112	https://screen.encodeproject.org/search/?q=EH38E1373112&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026345808	chr1	10537403	10537746	hg38	chr1	10537403	10537746	hg38	-	-	EH38E2785512	https://screen.encodeproject.org/search/?q=EH38E2785512&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026346010	chr1	10735638	10735883	hg38	chr1	10735638	10735883	hg38	-	-	EH38E2785779	https://screen.encodeproject.org/search/?q=EH38E2785779&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026384728	chr1	110544841	110545108	hg38	chr1	110544841	110545108	hg38	-	-	EH38E2830511	https://screen.encodeproject.org/search/?q=EH38E2830511&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026383882	chr1	109257680	109258028	hg38	chr1	109257680	109258028	hg38	-	-	EH38E2829439	https://screen.encodeproject.org/search/?q=EH38E2829439&assembly=GRCh38	32728249	-	ChIP-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026384255	chr1	109802704	109802857	hg38	chr1	109802704	109802857	hg38	-	-	EH38E2829931	https://screen.encodeproject.org/search/?q=EH38E2829931&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026339690	chr1	1128864	1129127	hg38	chr1	1128864	1129127	hg38	-	-	EH38E1310503	https://screen.encodeproject.org/search/?q=EH38E1310503&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026382805	chr1	103191376	103191669	hg38	chr1	103191376	103191669	hg38	-	-	EH38E1372784	https://screen.encodeproject.org/search/?q=EH38E1372784&assembly=GRCh38	32728249	-	DNase-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026385380	chr1	112092918	112093261	hg38	chr1	112092918	112093261	hg38	-	-	EH38E1376806	https://screen.encodeproject.org/search/?q=EH38E1376806&assembly=GRCh38	32728249	-	ChIP-seq	dELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026384354	chr1	109909987	109910293	hg38	chr1	109909987	109910293	hg38	-	-	EH38E2830043	https://screen.encodeproject.org/search/?q=EH38E2830043&assembly=GRCh38	32728249	-	ChIP-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026385352	chr1	111981841	111982190	hg38	chr1	111981841	111982190	hg38	-	-	EH38E2831291	https://screen.encodeproject.org/search/?q=EH38E2831291&assembly=GRCh38	32728249	-	DNase-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026385752	chr1	112997855	112998163	hg38	chr1	112997855	112998163	hg38	-	-	EH38E1377418	https://screen.encodeproject.org/search/?q=EH38E1377418&assembly=GRCh38	32728249	-	ChIP-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026384118	chr1	109611935	109612207	hg38	chr1	109611935	109612207	hg38	-	-	EH38E1374942	https://screen.encodeproject.org/search/?q=EH38E1374942&assembly=GRCh38	32728249	-	ChIP-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026382789	chr1	103107734	103108009	hg38	chr1	103107734	103108009	hg38	-	-	EH38E1372752	https://screen.encodeproject.org/search/?q=EH38E1372752&assembly=GRCh38	32728249	-	ChIP-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026339625	chr1	1063938	1064125	hg38	chr1	1063938	1064125	hg38	-	-	EH38E1310430	https://screen.encodeproject.org/search/?q=EH38E1310430&assembly=GRCh38	32728249	-	ChIP-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026384800	chr1	110675254	110675435	hg38	chr1	110675254	110675435	hg38	-	-	EH38E2830603	https://screen.encodeproject.org/search/?q=EH38E2830603&assembly=GRCh38	32728249	-	DNase-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026339583	chr1	1021540	1021753	hg38	chr1	1021540	1021753	hg38	-	-	EH38E1310383	https://screen.encodeproject.org/search/?q=EH38E1310383&assembly=GRCh38	32728249	-	ChIP-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026385247	chr1	111739883	111740048	hg38	chr1	111739883	111740048	hg38	-	-	EH38E2831109	https://screen.encodeproject.org/search/?q=EH38E2831109&assembly=GRCh38	32728249	-	DNase-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00026339627	chr1	1064651	1064884	hg38	chr1	1064651	1064884	hg38	-	-	EH38E2776900	https://screen.encodeproject.org/search/?q=EH38E2776900&assembly=GRCh38	32728249	-	DNase-seq	pELS	SCREEN	-	-	-	-	-	-	-	-	-	-	-	-
