experiment,db_name,model,run,valid_turtle,n_triples,n_classes_generated,n_properties_generated,n_mappings_generated,n_classes_ref,n_properties_ref,n_mappings_ref,classes_matched,precision_classes,recall_classes,f1_classes,properties_matched,precision_properties,recall_properties,f1_properties,mappings_matched,mapping_precision,mapping_recall,n_with_label,coverage_annotations,global_score,file,error
E1,DiseaseEnhancer,gpt-4o,1,True,42,5,5,4,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,9,180.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/ontology_run1.ttl,
E1,DiseaseEnhancer,gpt-4o,2,True,41,4,5,4,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,9,225.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/ontology_run2.ttl,
E1,DiseaseEnhancer,gpt-4o,3,True,41,4,5,4,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,9,225.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/ontology_run3.ttl,
E1,FANTOM5,gpt-4o,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,gpt-4o,2,True,54,2,8,8,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,10,500.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/ontology_run2.ttl,
E1,FANTOM5,gpt-4o,3,True,38,3,5,4,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,8,266.6667,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/ontology_run3.ttl,
E1,FANTOM5,gpt-4o-mini,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o-mini/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,HACER,gpt-4o,1,True,50,4,7,2,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,11,275.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/ontology_run1.ttl,
E1,HACER,gpt-4o,2,True,73,6,10,4,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,16,266.6667,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/ontology_run2.ttl,
E1,HACER,gpt-4o,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,gpt-4o,1,True,55,6,6,4,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,11,183.3333,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/ontology_run1.ttl,
E1,dbSUPER,gpt-4o,2,True,42,4,5,3,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,9,225.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/ontology_run2.ttl,
