# Base de datos: HACER
# Descripción: Human Active Cis-regulatory Elements database
# Fuente: http://bioinfo.vanderbilt.edu/AE/HACER/
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MS-1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MKL-1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	NCI-H1770	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MS-1	CAGE	-	HACER	FAM131C	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MS-1	CAGE	-	HACER	FAM131C	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000074849	chr1	100827551	100827774	hg19	chr1	100361995	100362218	hg38	0.95	1	-	-	30247654	Saos-2	CAGE	-	HACER	MFSD14A	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000074839	chr1	100494312	100494735	hg19	chr1	100028756	100029179	hg38	0.95	1	-	-	30247654	JMSU1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000074857	chr1	100911126	100911538	hg19	chr1	100445570	100445982	hg38	0.95	1	-	-	30247654	Saos-2	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000006044	chr6	159523668	159523966	hg19	chr6	159102636	159102934	hg38	0.95	1	-	-	30247654	Ty-82	CAGE	-	HACER	RSPH3	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000074857	chr1	100911126	100911538	hg19	chr1	100445570	100445982	hg38	0.95	1	-	-	30247654	FU-RPNT-1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000074840	chr1	100502622	100502881	hg19	chr1	100037066	100037325	hg38	0.95	1	-	-	30247654	Mero-14	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000074871	chr1	101485385	101485713	hg19	chr1	101019829	101020157	hg38	0.95	1	-	-	30247654	A172	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
