crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample_name,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refsnp_ID,mutation_PMID,mutation_method
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,MS-1,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,MKL-1,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,NCI-H1770,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,MS-1,CAGE,-,HACER,FAM131C,30247654,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,MS-1,CAGE,-,HACER,FAM131C,30247654,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,MS-1,CAGE,-,HACER,FAM131C,30247654,distance_50kb,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,NCI-H1770,CAGE,-,HACER,FAM131C,30247654,distance_50kb,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,NCI-H1770,CAGE,-,HACER,FAM131C,30247654,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,MKL-1,CAGE,-,HACER,FAM131C,30247654,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,NCI-H1770,CAGE,-,HACER,HSPB7,30247654,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,NCI-H1770,CAGE,-,HACER,HSPB7,30247654,distance_50kb,-,-,-,-,-,-,-,-,-
CRMHS00000005752,chr1,16366462,16366839,hg19,chr1,16039967,16040344,hg38,0.95,1,-,-,30247654,MKL-1,CAGE,-,HACER,ZBTB17,30247654,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,DMS 144,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,NCI-H82,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,PCM6,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,FU-RPNT-2,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,TM-31,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,HS-SY-II,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,Saos-2,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,HPB-ALL,CAGE,-,HACER,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,FU-RPNT-2,CAGE,-,HACER,ADO,30247654,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,HPB-ALL,CAGE,-,HACER,ADO,30247654,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,HS-SY-II,CAGE,-,HACER,ADO,30247654,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,Saos-2,CAGE,-,HACER,ADO,30247654,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000005795,chr10,64445329,64445644,hg19,chr10,62685569,62685884,hg38,0.95,1,-,-,30247654,NCI-H82,CAGE,-,HACER,ADO,30247654,expression correlation,-,-,-,-,-,-,-,-,-
