crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refsnp_ID,mutation_PMID,mutation_method
CRMHS00000081908,chr10,18430951,18431281,hg19,chr10,18142022,18142352,hg38,0.95,1.0,-,-,24670763,-,CAGE,-,FANTOM5,CACNB2,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000128885,chr6,57325457,57325813,hg19,chr6,60353611,60353968,hg38,0.95,1.00280112044818,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000139857,chrX,52949996,52950343,hg19,chrX,52920806,52921152,hg38,0.95,0.997126436781609,-,-,24670763,-,CAGE,-,FANTOM5,KDM5C,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000114203,chr22,42527695,42528060,hg19,chr22,42131693,42132053,hg38,0.95,0.986338797814208,-,-,24670763,-,CAGE,-,FANTOM5,CYP2D6,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000117000,chr3,195258657,195259038,hg19,chr3,195531856,195532236,hg38,0.95,0.99738219895288,-,-,24670763,-,CAGE,-,FANTOM5,PPP1R2,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000099112,chr17,34481661,34482037,hg19,chr17,36154281,36154664,hg38,0.95,1.01856763925729,-,-,24670763,-,CAGE,-,FANTOM5,GGNBP2,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000104862,chr19,8749433,8750038,hg19,chr19,8639978,8640578,hg38,0.95,0.991749174917492,-,-,24670763,-,CAGE,-,FANTOM5,MYO1F,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000085977,chr11,57713900,57713912,hg19,chr11,57946428,57946440,hg38,0.95,1.0,-,-,24670763,-,CAGE,-,FANTOM5,UBE2L6,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000090693,chr13,114147699,114148153,hg19,chr13,113493384,113493838,hg38,0.95,1.0,-,-,24670763,-,CAGE,-,FANTOM5,GRTP1,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000130674,chr7,151535790,151536675,hg19,chr7,151838704,151839589,hg38,0.95,1.0,-,-,24670763,-,CAGE,-,FANTOM5,PRKAG2,24670763,expression correlation,-,-,-,-,-,-,-,-,-
