# Base de datos: HACER
# Descripción: Human Active Cis-regulatory Elements database
# Fuente: http://bioinfo.vanderbilt.edu/AE/HACER/
# Dimensiones totales: 7476524 filas, 30 columnas
# Filas en esta muestra: 50
# Estrategia: A_head (cabecera determinista)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MS-1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MKL-1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	NCI-H1770	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MS-1	CAGE	-	HACER	FAM131C	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MS-1	CAGE	-	HACER	FAM131C	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MS-1	CAGE	-	HACER	FAM131C	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	NCI-H1770	CAGE	-	HACER	FAM131C	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	NCI-H1770	CAGE	-	HACER	FAM131C	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	MKL-1	CAGE	-	HACER	FAM131C	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	NCI-H1770	CAGE	-	HACER	HSPB7	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	30247654	NCI-H1770	CAGE	-	HACER	HSPB7	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
