# Base de datos: FANTOM5
# Descripción: Enhancers activos identificados por CAGE-seq
# Fuente: https://fantom.gsc.riken.jp/5/
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	FAM131C	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000005795	chr10	64445329	64445644	hg19	chr10	62685569	62685884	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	ADO	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000006044	chr6	159523668	159523966	hg19	chr6	159102636	159102934	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	TAGAP	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000006141	chrX	53285845	53286369	hg19	chrX	53256663	53257187	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	FAM156A	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000006141	chrX	53285845	53286369	hg19	chrX	53256663	53257187	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	IQSEC2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000076612	chr1	183241451	183241867	hg19	chr1	183272316	183272732	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	LAMC1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000075686	chr1	153936554	153936861	hg19	chr1	153964078	153964385	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	S100A16	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000077460	chr1	210425971	210426288	hg19	chr1	210252626	210252943	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000074856	chr1	100905821	100906168	hg19	chr1	100440265	100440612	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	SLC35A3	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000077459	chr1	210386537	210386820	hg19	chr1	210213192	210213475	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000075752	chr1	155443130	155443303	hg19	chr1	155473339	155473512	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000078767	chr1	26616527	26617019	hg19	chr1	26290036	26290528	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	UBXN11	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000079386	chr1	44354357	44354471	hg19	chr1	43888685	43888799	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	IPO13	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000075169	chr1	112196411	112196803	hg19	chr1	111653789	111654181	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	INKA2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000077732	chr1	22066009	22066225	hg19	chr1	21739516	21739732	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000077513	chr1	212261904	212262125	hg19	chr1	212088562	212088783	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	PPP2R5A	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000076311	chr1	172666682	172666997	hg19	chr1	172697542	172697857	hg38	0.95	1.0	-	-	24670763	-	CAGE	-	FANTOM5	SUCO	24670763	expression correlation	-	-	-	-	-	-	-	-	-
