# Base de datos: EnDisease
# Descripción: Enhancers asociados a enfermedades con evidencias publicadas
# Fuente: -
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000000054	chr1	18632177	18633790	hg38	chr1	18632177	18633790	hg38	-	-	-	-	27049830	RKO	-	-	EnDisease	CHRM3	27049830	-	-	-	-	OMIM:114500	27049830	-	-	-	-
CRMHS00000000054	chr1	18632177	18633790	hg38	chr1	18632177	18633790	hg38	-	-	-	-	27049830	DLD1	-	-	EnDisease	CHRM3	27049830	-	-	-	-	OMIM:114500	27049830	-	-	-	-
CRMHS00000000054	chr1	18632177	18633790	hg38	chr1	18632177	18633790	hg38	-	-	-	-	27049830	LIM2405	-	-	EnDisease	CHRM3	27049830	-	-	-	-	OMIM:114500	27049830	-	-	-	-
CRMHS00000000054	chr1	18632177	18633790	hg38	chr1	18632177	18633790	hg38	-	-	-	-	27049830	HCT116	-	-	EnDisease	CHRM3	27049830	-	-	-	-	OMIM:114500	27049830	-	-	-	-
CRMHS00000000054	chr1	18632177	18633790	hg38	chr1	18632177	18633790	hg38	-	-	-	-	27049830	Colo205	-	-	EnDisease	CHRM3	27049830	-	-	-	-	OMIM:114500	27049830	-	-	-	-
CRMHS00000006037	chr6	151633067	151634465	hg38	chr6	151633067	151634465	hg38	-	-	-	-	27571262	-	-	-	EnDisease	ESR1	27571262	-	-	-	-	OMIM:114480	27571262	-	-	-	-
CRMHS00000005793	chr10	6065239	6075637	hg38	chr10	6065239	6075637	hg38	-	-	-	-	22396755	-	-	-	EnDisease	PFKFB3	22396755	-	-	-	-	OMIM:152700	24196873	-	-	-	-
CRMHS00000005894	chr19	29804495	29807893	hg38	chr19	29804495	29807893	hg38	-	-	-	-	27514407	-	-	-	EnDisease	CCNE1	27514407	-	-	-	-	OMIM:109800	27514407	-	-	-	-
CRMHS00000005929	chr20	31699319	31699534	hg38	chr20	31699319	31699534	hg38	-	-	-	-	23273978	MCF7	-	-	EnDisease	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000006070	chr7	101486536	101486777	hg38	chr7	101486536	101486777	hg38	-	-	-	-	21948517	-	-	-	EnDisease	SHH	21948517	-	-	-	-	OMIM:142945	21948517	-	-	-	-
CRMHS00000005778	chr10	122457486	122460884	hg38	chr10	122457486	122460884	hg38	-	-	-	-	25519903	-	-	-	EnDisease	HTRA1	25519903	-	-	-	-	OMIM:603075	25519903	-	-	-	-
CRMHS00000006017	chr5	1310287	1340085	hg38	chr5	1310287	1340085	hg38	-	-	-	-	26466568	-	-	-	EnDisease	TERT	26466568	-	-	-	-	OMIM:256700	26466568	-	-	-	-
CRMHS00000005885	chr17	71709461	71710459	hg38	chr17	71709461	71710459	hg38	-	-	-	-	26030420	-	-	-	EnDisease	SOX9	26030420	-	-	-	-	OMIM:261800	26030420	-	-	-	-
CRMHS00000006103	chr8	127518628	127520628	hg38	chr8	127518628	127520628	hg38	-	-	-	-	19680443	-	-	-	EnDisease	MYC	19680443	-	-	-	-	OMIM:176807	19680443	-	-	-	-
CRMHS00000006074	chr7	156268369	156269144	hg38	chr7	156268369	156269144	hg38	-	-	-	-	16407397	-	-	-	EnDisease	SHH	16407397	-	-	-	-	OMIM:142945	16407397	-	-	-	-
CRMHS00000005869	chr17	39754158	39803147	hg38	chr17	39754158	39803147	hg38	-	-	-	-	25363779	-	-	-	EnDisease	IKZF3	25363779	-	-	-	-	OMIM:126200	25363779	-	-	-	-
CRMHS00000005793	chr10	6065239	6075637	hg38	chr10	6065239	6075637	hg38	-	-	-	-	22396755	-	-	-	EnDisease	IL2RA	22396755	-	-	-	-	OMIM:266600	24196873	-	-	-	-
CRMHS00000006126	chr9	22110603	22120001	hg38	chr9	22110603	22120001	hg38	-	-	-	-	26487755	-	-	-	EnDisease	CDKN2B-AS1	27055116	-	-	-	-	OMIM:608320	26487755	-	-	-	-
CRMHS00000006086	chr8	11485464	11487464	hg38	chr8	11485464	11487464	hg38	-	-	-	-	24196873	-	-	-	EnDisease	FAM167A	24196873	-	-	-	-	OMIM:266600	24196873	-	-	-	-
CRMHS00000005897	chr19	51269548	51271548	hg38	chr19	51269548	51271548	hg38	-	-	-	-	26449484	-	-	-	EnDisease	KLK14	26449484	-	-	-	-	OMIM:601665	26449484	-	-	-	-
CRMHS00000005821	chr12	57769619	57771817	hg38	chr12	57769619	57771817	hg38	-	-	-	-	23160276	-	-	-	EnDisease	AVIL	23160276	-	-	-	-	OMIM:126200	23160276	-	-	-	-
CRMHS00000005960	chr3	139234935	139235082	hg38	chr3	139234935	139235082	hg38	-	-	-	-	19543368	-	-	-	EnDisease	FOXL2	19543368	-	-	-	-	OMIM:110100	19543368	-	-	-	-
CRMHS00000005876	chr17	66303684	66311682	hg38	chr17	66303684	66311682	hg38	-	-	-	-	28120175	-	-	-	EnDisease	PRKCA	28120175	-	-	-	-	-	-	-	-	-	-
CRMHS00000005785	chr10	23218517	23220517	hg38	chr10	23218517	23220517	hg38	-	-	-	-	26382709	-	-	-	EnDisease	PTF1A	26382709	-	-	-	-	OMIM:260370	26382709	-	-	-	-
CRMHS00000005796	chr10	62976815	62978815	hg38	chr10	62976815	62978815	hg38	-	-	-	-	26214589	-	-	-	EnDisease	EGR2	26214589	-	-	-	-	OMIM:612219	26214589	-	-	-	-
