chrom,start,stop,se_id,gene_symbol,cell_name,rank
chr3,187454355,187468841,SE_31797,BCL6,Gastric,424
chr4,49148,60599,SE_15126,ZNF718,CD4 Memory Primary 7pool,753
chr8,29491466,29546223,SE_56175,DUSP4,u87,527
chr19,1151187,1219243,SE_52663,SBNO2,Small Intestine,328
chr1,94125465,94221168,SE_37201,BCAR3,HSMMtube,291
chr10,25072260,25110471,SE_08445,PRTFDC1,Brain Inferior Temporal Lobe,733
chr20,35921900,35986561,SE_50575,SRC,Sigmoid Colon,526
chr8,38613655,38665336,SE_29948,TACC1,Fetal Muscle,395
chr5,138719857,138730337,SE_44086,MZB1,MM1S,590
chr17,61849738,61870107,SE_36361,DDX42,HMEC,550
chr7,51322792,51385835,SE_43340,COBL,Lung,1247
chr3,57769207,57792111,SE_64744,SLMAP,NHEK,526
chr1,16151556,16194470,SE_09659,SPEN,CD14,523
chr20,39296790,39319594,SE_54203,MAFB,Spleen,922
chr3,140824178,140848539,SE_66741,SPSB4,Jurkat,508
chr15,85228979,85334264,SE_11419,ZNF592,CD20,576
chr15,57208818,57240983,SE_05687,TCF12,Brain Cingulate Gyrus,927
chr10,81001777,81075232,SE_24559,PPIF,Colon Crypt 2,837
chr2,33699968,33727830,SE_62398,RASGRP3,Tonsil,201
chr4,38662858,38683634,SE_27686,KLF3-AS1,Fetal Intestine,73
chr11,118462573,118507903,SE_45888,PHLDB1,Osteoblasts,356
chr1,43736531,43790940,SE_06984,TIE1,Brain Hippocampus Middle 150,311
chr12,59307702,59321047,SE_29056,LRIG3,Fetal Intestine Large,524
chr2,60690108,60782986,SE_41350,BCL11A,Left Ventricle,768
chr14,69245523,69288565,SE_26562,C14orf181,Esophagus,45
