# Base de datos: dbSUPER
# Descripción: Super-enhancers con coordenadas, líneas celulares y genes diana
# Fuente: https://asntech.org/dbsuper/
# Dimensiones totales: 69022 filas, 30 columnas
# Filas en esta muestra: 25
# Estrategia: C_stratified (estratificado por columna categórica)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000033235	chr16	74747159	74812969	hg19	chr16	74713261	74779071	hg38	0.95	1	SE_31639	https://asntech.org/dbsuper/details.php?se_id=SE_31639	24119843	Gastric	H3K27ac	super-enhancer	dbSUPER	FA2H	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000052060	chr22	38786517	38797655	hg19	chr22	38390512	38401650	hg38	0.95	1	SE_14857	https://asntech.org/dbsuper/details.php?se_id=SE_14857	24119843	CD4 Memory Primary 7pool	H3K27ac	super-enhancer	dbSUPER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000050292	chr21	36154979	36219366	hg19	chr21	34782682	34847069	hg38	0.95	1	SE_67752	https://asntech.org/dbsuper/details.php?se_id=SE_67752	23582323	u87	MED1	super-enhancer	dbSUPER	RUNX1	23582323	closest	-	-	-	-	-	-	-	-	-
CRMHS00000011714	chr1	2506021	2519610	hg19	chr1	2574582	2588171	hg38	0.95	1	SE_52783	https://asntech.org/dbsuper/details.php?se_id=SE_52783	24119843	Small Intestine	H3K27ac	super-enhancer	dbSUPER	PRXL2B	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000042938	chr2	109780546	109803992	hg19	chr2	109164090	109187536	hg38	0.95	1	SE_37715	https://asntech.org/dbsuper/details.php?se_id=SE_37715	24119843	HSMMtube	H3K27ac	super-enhancer	dbSUPER	CCDC138	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000008461	chr1	161160323	161173936	hg19	chr1	161190533	161204146	hg38	0.95	1	SE_08478	https://asntech.org/dbsuper/details.php?se_id=SE_08478	24119843	Brain Inferior Temporal Lobe	H3K27ac	super-enhancer	dbSUPER	ADAMTS4	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000041996	chr19	47446076	47459624	hg19	chr19	46942819	46956367	hg38	0.95	1	SE_29058	https://asntech.org/dbsuper/details.php?se_id=SE_29058	24119843	Fetal Intestine Large	H3K27ac	super-enhancer	dbSUPER	AP2S1	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000054376	chr3	171842277	171895093	hg19	chr3	172124487	172177303	hg38	0.95	1	SE_29885	https://asntech.org/dbsuper/details.php?se_id=SE_29885	24119843	Fetal Muscle	H3K27ac	super-enhancer	dbSUPER	FNDC3B	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000066833	chr7	150052940	150084431	hg19	chr7	150355851	150387343	hg38	0.95	1.000032	SE_43573	https://asntech.org/dbsuper/details.php?se_id=SE_43573	24119843	MM1S	H3K27ac	super-enhancer	dbSUPER	REPIN1	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000044401	chr2	201979745	202023572	hg19	chr2	201115022	201158849	hg38	0.95	1	SE_35842	https://asntech.org/dbsuper/details.php?se_id=SE_35842	24119843	HMEC	H3K27ac	super-enhancer	dbSUPER	CFLAR	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000072508	chr9	134482182	134555670	hg19	chr9	131606795	131680283	hg38	0.95	1	SE_42319	https://asntech.org/dbsuper/details.php?se_id=SE_42319	24119843	Lung	H3K27ac	super-enhancer	dbSUPER	RAPGEF1	24119843	closest	-	-	-	-	-	-	-	-	-
