# Base de datos: DiseaseEnhancer
# Descripción: Enhancers asociados a enfermedades
# Fuente: http://biocc.hrbmu.edu.cn/DiseaseEnhancer/
# Dimensiones totales: 4059 filas, 30 columnas
# Filas en esta muestra: 25
# Estrategia: B_random (aleatorio, semilla fija)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refseq_ID	mutation_PMID	mutation_method
CRMHS00027685825	chr4	88958922	88960922	hg19	chr4	88037770	88039770	hg38	0.95	1	DE_01030	-	29093029	-	-	-	DiseaseEnhancer	PIGY	29093029	-	-	-	-	DOID:784	29093029	-	rs2725220	29093029	-
CRMHS00027685608	chr20	55683202	55685000	hg19	chr20	57108146	57109944	hg38	0.95	1	DE_00247	-	27723759	-	-	-	DiseaseEnhancer	BRIP1	27723759	-	-	-	-	DOID:1612	27723759	-	-	-	-
CRMHS00027685975	chr22	19743002	19744600	hg19	chr22	19755479	19757077	hg38	0.95	1	DE_00256	-	25910213	-	-	-	DiseaseEnhancer	TBX1	25910213	-	-	-	-	mesh:D006345	25910213	-	-	-	-
CRMHS00000005889	chr18	46440202	46475000	hg19	chr18	48913832	48948630	hg38	0.95	1	DE_00586	-	25375357	-	-	-	DiseaseEnhancer	SMAD7	25375357	-	-	-	-	mesh:D015179	25375357	-	rs8085824	25375357	-
CRMHS00027685533	chr3	15599802	15600000	hg19	chr3	15558295	15558493	hg38	0.95	1	DE_00877	-	27869826	-	-	-	DiseaseEnhancer	BTD	27869826	-	-	-	-	DOID:0050939	27869826	-	-	-	-
CRMHS00000005806	chr11	69249002	69254400	hg19	chr11	69434234	69439632	hg38	0.95	1	DE_00101	-	27723759	-	-	-	DiseaseEnhancer	CCND1	27723759	-	-	-	-	mesh:D001943	27723759	-	-	-	-
CRMHS00000005786	chr10	43446602	43448600	hg19	chr10	42951154	42953152	hg38	0.95	1	DE_00516	-	27693352	-	-	-	DiseaseEnhancer	RET	27693352	-	-	-	-	mesh:D006627	27693352	-	rs2506030	27693352	-
CRMHS00027685665	chr20	46600794	46602794	hg19	chr20	47972050	47974050	hg38	0.95	1	DE_00676	-	27723759	-	-	-	DiseaseEnhancer	SULF2	27723759	-	-	-	-	DOID:1612	27723759	-	-	-	-
CRMHS00027685823	chr1	155187002	155196600	hg19	chr1	155217211	155226809	hg38	0.95	1	DE_01025	-	29093029	-	-	-	DiseaseEnhancer	KRTCAP2	29093029	-	-	-	-	mesh:D051436	29093029	-	rs2049805	29093029	-
CRMHS00027685849	chr2	73865402	73870200	hg19	chr2	73638275	73643073	hg38	0.95	1	DE_01019	-	29093029	-	-	-	DiseaseEnhancer	NAT8	29093029	-	-	-	-	DOID:784	29093029	-	rs13538	29093029	-
CRMHS00000005983	chr3	187798802	187801400	hg19	chr3	188081014	188083612	hg38	0.95	1	DE_00299	-	26229090	-	-	-	DiseaseEnhancer	BCL6	26229090	-	-	-	-	DOID:9952	26229090	-	-	-	-
CRMHS00027685543	chr11	2158202	2159200	hg19	chr11	2136972	2137970	hg38	0.95	1	DE_00974	-	27869826	-	-	-	DiseaseEnhancer	KCNQ1	27869826	-	-	-	-	DOID:3068	27869826	-	-	-	-
CRMHS00027685659	chr13	48610842	48612843	hg19	chr13	48036706	48038707	hg38	0.95	1	DE_00156	-	27723759	-	-	-	DiseaseEnhancer	RB1	27723759	-	-	-	-	mesh:D001943	27723759	-	-	-	-
CRMHS00027685541	chrX	23575002	23575800	hg19	chrX	23556885	23557683	hg38	0.95	1	DE_00989	-	27869826	-	-	-	DiseaseEnhancer	PTCHD1	27869826	-	-	-	-	DOID:3907	27869826	-	-	-	-
CRMHS00027685836	chr11	64460802	64466200	hg19	chr11	64693330	64698728	hg38	0.95	1	DE_01036	-	29093029	-	-	-	DiseaseEnhancer	RASGRP2	29093029	-	-	-	-	mesh:D051436	29093029	-	rs504915	29093029	-
CRMHS00027685595	chr13	33213602	33214600	hg19	chr13	32639465	32640463	hg38	0.95	1	DE_00153	-	27723759	-	-	-	DiseaseEnhancer	BRCA2	27723759	-	-	-	-	DOID:1612	27723759	-	-	-	-
CRMHS00027685540	chr6	167395002	167395200	hg19	chr6	166981514	166981712	hg38	0.95	1	DE_00843	-	27869826	-	-	-	DiseaseEnhancer	AFDN	27869826	-	-	-	-	DOID:8923	27869826	-	-	-	-
CRMHS00027685824	chr5	176815002	176818400	hg19	chr5	177388001	177391399	hg38	0.95	1	DE_01042	-	29093029	-	-	-	DiseaseEnhancer	MXD3	29093029	-	-	-	-	mesh:D051436	29093029	-	rs6420094	29093029	-
CRMHS00000005969	chr3	140438276	140438409	hg19	chr3	140719434	140719567	hg38	0.95	1	DE_00280	-	19543368	-	-	-	DiseaseEnhancer	FOXL2	19543368	-	-	-	-	mesh:D016569	19543368	-	-	-	-
CRMHS00000006068	chr6	86246799	86248799	hg19	chr6	85537081	85539081	hg38	0.95	1	DE_00660	-	28033303	-	-	-	DiseaseEnhancer	SNHG5	28033303	-	-	-	-	DOID:1909	28033303	-	rs9444351	28033303	-
CRMHS00027685972	chr12	121412402	121416200	hg19	chr12	120974599	120978397	hg38	0.95	1	DE_00139	-	25910213	-	-	-	DiseaseEnhancer	HNF1A	25910213	-	-	-	-	DOID:9352	25910213	-	-	-	-
