chrom,start,stop,se_id,gene_symbol,cell_name,rank
chr16,72866815,72895386,SE_01932,ZFHX3,Aorta,400
chr17,7378882,7383861,SE_01371,ZBTB4,Adrenal Gland,519
chr10,80817765,80920515,SE_47462,ZMIZ1,Pancreas,8
chr10,104529407,104576890,SE_45873,WBP1L,Osteoblasts,341
chr9,35470312,35533883,SE_45918,RUSC2,Osteoblasts,386
chr10,13715837,13730297,SE_38524,SEPHS1,HUVEC,585
chr3,16099720,16182650,SE_02311,GALNT15,Astrocytes,76
chr10,73505715,73534193,SE_26143,C10orf54,Duodenum Smooth Muscle,377
chr15,40336022,40409018,SE_58853,BMF,Ly3,40
chr5,133859647,133864178,SE_49799,JADE2,Right Ventricle,360
chr4,177908562,177945740,SE_64800,VEGFC,NHEK,582
chr1,204375797,204381837,SE_19722,PPP1R15B,CD4p CD25- Il17p PMAstim Th17,624
chr20,43964321,43977082,SE_26046,SDC4,Duodenum Smooth Muscle,280
chr6,39832635,39860559,SE_39683,MOCS1,Jurkat,330
chr2,66659158,66674359,SE_01098,MEIS1,Adrenal Gland,246
chr4,122609400,122618977,SE_45101,ANXA5,NHLF,353
chr6,163557756,163621349,SE_03941,PACRG-AS1,Brain Anterior Caudate,88
chr9,14304217,14322476,SE_09084,SNAPC3,Brain Mid Frontal Lobe,305
chr16,89888528,89931415,SE_50913,SPIRE2,Sigmoid Colon,864
chr6,30522426,30525860,SE_30372,PRR3,Fetal Muscle,819
chr15,48680867,48764053,SE_00111,DUT,Adipose Nuclei,111
chr10,33561095,33627171,SE_42420,NRP1,Lung,327
chr8,2022617,2055462,SE_68287,,TC32,170
chr1,6660216,6665326,SE_31935,KLHL21,Gastric,562
chr11,126659627,126688520,SE_59981,MIR3167,Ly4,378
