chrom,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockSizes,blockStarts
chr3,64147375,64147623,chr3:64147375-64147623,2,.,64147506,64147507,"0,0,0",2,"17,1","0,247"
chr11,102450928,102451243,chr11:102450928-102451243,8,.,102451065,102451066,"0,0,0",2,"4,44","0,271"
chr9,136688455,136688774,chr9:136688455-136688774,34,.,136688541,136688542,"0,0,0",2,"25,171","0,148"
chr6,7074033,7074425,chr6:7074033-7074425,3,.,7074226,7074227,"0,0,0",2,"1,6","0,386"
chr1,66954948,66955119,chr1:66954948-66955119,4,.,66955042,66955043,"0,0,0",2,"19,1","0,170"
chr12,794631,794815,chr12:794631-794815,205,.,794738,794739,"0,0,0",2,"64,32","0,152"
chr18,46311579,46311776,chr18:46311579-46311776,5,.,46311714,46311715,"0,0,0",2,"76,1","0,196"
chr10,30919427,30919927,chr10:30919427-30919927,95,.,30919500,30919501,"0,0,0",2,"5,357","0,143"
chr8,19782770,19783069,chr8:19782770-19783069,10,.,19782973,19782974,"0,0,0",2,"111,2","0,297"
chr7,157131379,157131690,chr7:157131379-157131690,18,.,157131420,157131421,"0,0,0",2,"27,255","0,56"
chr15,99399333,99399603,chr15:99399333-99399603,24,.,99399474,99399475,"0,0,0",2,"90,77","0,193"
chr14,74793012,74793450,chr14:74793012-74793450,29,.,74793308,74793309,"0,0,0",2,"217,61","0,377"
chr4,139831999,139832463,chr4:139831999-139832463,12,.,139832294,139832295,"0,0,0",2,"227,100","0,364"
chr19,2621859,2622002,chr19:2621859-2622002,43,.,2621917,2621918,"0,0,0",2,"40,65","0,78"
chr16,3124961,3125268,chr16:3124961-3125268,25,.,3125098,3125099,"0,0,0",2,"100,132","0,175"
chr20,32966378,32966977,chr20:32966378-32966977,7,.,32966402,32966403,"0,0,0",2,"1,551","0,48"
chr21,40388041,40388127,chr21:40388041-40388127,22,.,40388083,40388084,"0,0,0",2,"12,12","0,74"
chr13,44620658,44620684,chr13:44620658-44620684,9,.,44620669,44620670,"0,0,0",2,"1,4","0,22"
chr17,8888376,8888874,chr17:8888376-8888874,35,.,8888547,8888548,"0,0,0",2,"102,257","0,241"
chr2,102844840,102845062,chr2:102844840-102845062,81,.,102844887,102844888,"0,0,0",2,"4,130","0,92"
chr5,131405297,131405476,chr5:131405297-131405476,6,.,131405396,131405397,"0,0,0",2,"21,1","0,178"
chr22,46676915,46677122,chr22:46676915-46677122,63,.,46676985,46676986,"0,0,0",2,"22,87","0,120"
chrY,7664268,7664575,chrY:7664268-7664575,20,.,7664464,7664465,"0,0,0",2,"122,35","0,272"
chrX,71314849,71315044,chrX:71314849-71315044,86,.,71314939,71314940,"0,0,0",2,"44,57","0,138"
chr12,118632324,118632442,chr12:118632324-118632442,17,.,118632382,118632383,"0,0,0",2,"1,1","0,117"
