crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample_name,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refsnp_ID,mutation_PMID,mutation_method
CRMHS00000009489,chr1,198588455,198654514,hg19,chr1,198619325,198685385,hg38,0.95,1.00001513775356,SE_59080,https://asntech.org/dbsuper/details.php?se_id=SE_59080,24332044,Ly3,H3K27ac,super-enhancer,dbSUPER,PTPRC,24332044,closest,-,-,-,-,-,-,-,-,-
CRMHS00000069381,chr8,128862757,128888657,hg19,chr8,127850511,127876411,hg38,0.95,1.0,SE_36126,https://asntech.org/dbsuper/details.php?se_id=SE_36126,24119843,HMEC,H3K27ac,super-enhancer,dbSUPER,MIR1204,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000013278,chr1,59238820,59252343,hg19,chr1,58773148,58786671,hg38,0.95,1.0,SE_07648,https://asntech.org/dbsuper/details.php?se_id=SE_07648,24119843,Brain Hippocampus Middle 150,H3K27ac,super-enhancer,dbSUPER,JUN,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000063019,chr6,151693060,151713476,hg19,chr6,151371925,151392341,hg38,0.95,1.0,SE_55531,https://asntech.org/dbsuper/details.php?se_id=SE_55531,24119843,Thymus,H3K27ac,super-enhancer,dbSUPER,ZBTB2,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000044613,chr2,206941994,206952373,hg19,chr2,206077270,206087649,hg38,0.95,1.0,SE_32791,https://asntech.org/dbsuper/details.php?se_id=SE_32791,24119843,H1,H3K27ac,super-enhancer,dbSUPER,INO80D,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000008529,chr1,161579645,161635931,hg19,chr1,161609855,161666141,hg38,0.95,1.0,SE_13494,https://asntech.org/dbsuper/details.php?se_id=SE_13494,24119843,CD34 Primary RO01536,H3K27ac,super-enhancer,dbSUPER,FCGR2B,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000024539,chr12,6263911,6345611,hg19,chr12,6154745,6236445,hg38,0.95,1.0,SE_52457,https://asntech.org/dbsuper/details.php?se_id=SE_52457,24119843,Small Intestine,H3K27ac,super-enhancer,dbSUPER,CD9,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000073945,chr9,95765884,95806157,hg19,chr9,93003602,93043875,hg38,0.95,1.0,SE_16126,https://asntech.org/dbsuper/details.php?se_id=SE_16126,24119843,CD4 Naive Primary 7pool,H3K27ac,super-enhancer,dbSUPER,SUSD3,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000038571,chr18,2905753,3017524,hg19,chr18,2905755,3017526,hg38,0.95,1.0,SE_17424,https://asntech.org/dbsuper/details.php?se_id=SE_17424,24119843,CD4p CD25- CD45RAp Naive,H3K27ac,super-enhancer,dbSUPER,LPIN2,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000042924,chr2,109188913,109232802,hg19,chr2,108572457,108616346,hg38,0.95,1.0,SE_09428,https://asntech.org/dbsuper/details.php?se_id=SE_09428,24119843,CD14,H3K27ac,super-enhancer,dbSUPER,LIMS1,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000034034,chr17,16868489,16895794,hg19,chr17,16965175,16992480,hg38,0.95,1.0,SE_43564,https://asntech.org/dbsuper/details.php?se_id=SE_43564,24119843,MM1S,H3K27ac,super-enhancer,dbSUPER,TNFRSF13B,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000051754,chr22,36718958,36731544,hg19,chr22,36322913,36335499,hg38,0.95,1.0,SE_49523,https://asntech.org/dbsuper/details.php?se_id=SE_49523,24119843,Right Ventricle,H3K27ac,super-enhancer,dbSUPER,MYH9,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000024155,chr12,53885789,53896049,hg19,chr12,53492005,53502265,hg38,0.95,1.0,SE_69194,https://asntech.org/dbsuper/details.php?se_id=SE_69194,26438538,H9,H3K27ac,super-enhancer,dbSUPER,MAP3K12,26438538,closest,-,-,-,-,-,-,-,-,-
CRMHS00000038516,chr18,21756053,21809531,hg19,chr18,24176089,24229567,hg38,0.95,1.0,SE_06419,https://asntech.org/dbsuper/details.php?se_id=SE_06419,24119843,Brain Hippocampus Middle,H3K27ac,super-enhancer,dbSUPER,OSBPL1A,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000043230,chr2,127858009,127875840,hg19,chr2,127100433,127118264,hg38,0.95,1.0,SE_09096,https://asntech.org/dbsuper/details.php?se_id=SE_09096,24119843,Brain Mid Frontal Lobe,H3K27ac,super-enhancer,dbSUPER,BIN1,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000063654,chr6,25006209,25042861,hg19,chr6,25005981,25042633,hg38,0.95,1.0,SE_12915,https://asntech.org/dbsuper/details.php?se_id=SE_12915,24119843,CD34 Primary RO01480,H3K27ac,super-enhancer,dbSUPER,CMAHP,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000046086,chr2,30424589,30524805,hg19,chr2,30201723,30301939,hg38,0.95,1.0,SE_40870,https://asntech.org/dbsuper/details.php?se_id=SE_40870,24119843,Left Ventricle,H3K27ac,super-enhancer,dbSUPER,LBH,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000067790,chr7,47486901,47538635,hg19,chr7,47447303,47499037,hg38,0.95,1.0,SE_47501,https://asntech.org/dbsuper/details.php?se_id=SE_47501,24119843,Pancreas,H3K27ac,super-enhancer,dbSUPER,UPP1,24119843,closest,-,-,-,-,-,-,-,-,-
