# Base de datos: FANTOM5
# Descripción: Enhancers activos identificados por CAGE-seq
# Fuente: https://fantom.gsc.riken.jp/5/
# Dimensiones totales: 96932 filas, 30 columnas
# Filas en esta muestra: 200
# Estrategia: A_head (cabecera determinista)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000005752	chr1	16366462	16366839	hg19	chr1	16039967	16040344	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	FAM131C	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000005795	chr10	64445329	64445644	hg19	chr10	62685569	62685884	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ADO	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000006044	chr6	159523668	159523966	hg19	chr6	159102636	159102934	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	TAGAP	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000006141	chrX	53285845	53286369	hg19	chrX	53256663	53257187	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	FAM156A	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000006141	chrX	53285845	53286369	hg19	chrX	53256663	53257187	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	IQSEC2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000006141	chrX	53285845	53286369	hg19	chrX	53256663	53257187	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	RIBC1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000074829	chr1	100000188	100000393	hg19	chr1	99534632	99534837	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000074830	chr1	100104444	100104686	hg19	chr1	99638888	99639130	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000074831	chr1	100113534	100114036	hg19	chr1	99647978	99648480	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	AGL	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000074831	chr1	100113534	100114036	hg19	chr1	99647978	99648480	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	PALMD	24670763	expression correlation	-	-	-	-	-	-	-	-	-
