# Base de datos: HACER
# Descripción: Human Active Cis-regulatory Elements database
# Fuente: http://bioinfo.vanderbilt.edu/AE/HACER/
# Dimensiones totales: 7476524 filas, 30 columnas
# Filas en esta muestra: 25
# Estrategia: D_diversity (máxima diversidad léxica)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000078104	chr1	230249347	230250007	hg19	chr1	230113600	230114260	hg38	0.95	1	-	-	30247654	SKG-II-SF	CAGE	-	HACER	GALNT2	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00007357114	chr19	42054235	42067192	hg19	chr19	41547867	41560822	hg38	0.95	0.999845655193703	AE_hg19_GM12878_20972	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20972	30247654	Adipose_Subcutaneous	-	-	HACER	-	-	-	-	-	-	-	-	-	rs34631471	30247654	overlap
CRMHS00007356973	chr17	41391760	41402104	hg19	chr17	43314406	43324736	hg38	0.95	0.998646689221846	AE_hg19_GM12878_20830	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20830	30247654	Artery_Coronary	-	-	HACER	NBR2	30247654	-	-	-	-	-	-	-	rs34537540	30247654	overlap
CRMHS00007358105	chr6	56690273	56718040	hg19	chr6	56825475	56853242	hg38	0.95	1	AE_hg19_GM12878_21963	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21963	30247654	Brain_Frontal_Cortex_BA9	-	-	HACER	BEND6	30247654	-	-	-	-	-	-	-	rs34896026	30247654	overlap
CRMHS00007356744	chr15	102280150	102306418	hg19	chr15	101739947	101766215	hg38	0.95	1	AE_hg19_GM12878_20601	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20601	30247654	Heart_Atrial_Appendage	-	-	HACER	TM2D3	30247654	-	-	-	-	-	-	-	rs2456491	30247654	overlap
CRMHS00000118585	chr3	98504725	98505044	hg19	chr3	98785881	98786200	hg38	0.95	1	AE_hg19_GM12878-ENCODE_501887	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878-ENCODE_501887	30247654	Artery_Aorta	-	-	HACER	ST3GAL6	30247654	-	-	-	-	-	-	-	rs4425200	30247654	overlap
CRMHS00000087530	chr12	116990477	116990812	hg19	chr12	116552672	116553007	hg38	0.95	1	AE_hg19_GM12878-ENCODE_494250	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878-ENCODE_494250	30247654	Thyroid	-	-	HACER	LINC00173	30247654	-	-	-	-	-	-	-	rs76316153	30247654	overlap
CRMHS00007357158	chr2	132425093	132431568	hg19	chr2	131667520	131673995	hg38	0.95	1	AE_hg19_GM12878_21016	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21016	30247654	Adrenal_Gland	-	-	HACER	C2orf27A	30247654	-	-	-	-	-	-	-	rs6429855	30247654	overlap
CRMHS00007358137	chr7	100890572	100899209	hg19	chr7	101247291	101255928	hg38	0.95	1	AE_hg19_GM12878_21995	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21995	30247654	Spleen	-	-	HACER	ZNHIT1	30247654	-	-	-	-	-	-	-	rs10252506	30247654	overlap
CRMHS00007357505	chr22	41410194	41421357	hg19	chr22	41014190	41025353	hg38	0.95	1	AE_hg19_GM12878_21363	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21363	30247654	Heart_Left_Ventricle	-	-	HACER	MEI1	30247654	-	-	-	-	-	-	-	rs4821981	30247654	overlap
CRMHS00007357791	chr5	138903862	138935032	hg19	chr5	139524277	139555447	hg38	0.95	1	AE_hg19_GM12878_21649	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21649	30247654	Esophagus_Mucosa	-	-	HACER	DNAJC18	30247654	-	-	-	-	-	-	-	rs2434576	30247654	overlap
CRMHS00007356368	chr11	47414693	47419052	hg19	chr11	47393142	47397501	hg38	0.95	1	AE_hg19_GM12878_20221	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20221	30247654	Brain_Nucleus_accumbens_basal_ganglia	-	-	HACER	MTCH2	30247654	-	-	-	-	-	-	-	rs58965622	30247654	overlap
CRMHS00007356303	chr10	99166241	99168681	hg19	chr10	97406484	97408924	hg38	0.95	1	AE_hg19_GM12878_20156	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20156	30247654	Artery_Tibial	-	-	HACER	RRP12	30247654	-	-	-	-	-	-	-	rs11371303	30247654	overlap
CRMHS00007356648	chr14	107166158	107171772	hg19	chr14	106710911	106716525	hg38	0.95	1	AE_hg19_GM12878_20504	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20504	30247654	Minor_Salivary_Gland	-	-	HACER	IGHV3-64	30247654	-	-	-	-	-	-	-	rs72622067	30247654	overlap
CRMHS00000110915	chr20	30699679	30699866	hg19	chr20	32111876	32112063	hg38	0.95	1	AE_hg19_GM12878-ENCODE_500401	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878-ENCODE_500401	30247654	Esophagus_Muscularis	-	-	HACER	MYLK2	30247654	-	-	-	-	-	-	-	rs75546298	30247654	overlap
CRMHS00007358491	chrX	148956557	148961425	hg19	chrX	149827748	149832613	hg38	0.95	0.999383857054837	AE_hg19_GM12878_22354	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_22354	30247654	Small_Intestine_Terminal_Ileum	-	-	HACER	-	-	-	-	-	-	-	-	-	rs7886858	30247654	overlap
CRMHS00007356844	chr16	11403495	11406765	hg19	chr16	11309638	11312908	hg38	0.95	1	AE_hg19_GM12878_20701	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20701	30247654	Adipose_Visceral_Omentum	-	-	HACER	RMI2	30247654	-	-	-	-	-	-	-	rs12927773	30247654	overlap
CRMHS00007357716	chr4	319399	325086	hg19	chr4	325610	331297	hg38	0.95	1	AE_hg19_GM12878_21574	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21574	30247654	Liver	-	-	HACER	-	-	-	-	-	-	-	-	-	rs114122353	30247654	overlap
CRMHS00000134977	chr8	38035023	38035257	hg19	chr8	38177505	38177739	hg38	0.95	1	AE_hg19_GM12878-ENCODE_506435	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878-ENCODE_506435	30247654	Brain_Caudate_basal_ganglia	-	-	HACER	-	-	-	-	-	-	-	-	-	rs3824288	30247654	overlap
CRMHS00007356569	chr13	20158023	20162310	hg19	chr13	19583883	19588170	hg38	0.95	1	AE_hg19_GM12878_20423	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20423	30247654	Lung	-	-	HACER	-	-	-	-	-	-	-	-	-	rs2497219	30247654	overlap
CRMHS00007358443	chr9	69864538	69879784	hg19	chr9	64852120	64867366	hg38	0.95	1	AE_hg19_GM12878_22305	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_22305	30247654	Skin_Sun_Exposed_Lower_leg	-	-	HACER	-	-	-	-	-	-	-	-	-	rs2130080	30247654	overlap
CRMHS00000101751	chr18	32829674	32829781	hg19	chr18	35249710	35249817	hg38	0.95	1	AE_hg19_GM12878-ENCODE_497783	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878-ENCODE_497783	30247654	Nerve_Tibial	-	-	HACER	-	-	-	-	-	-	-	-	-	rs371707455	30247654	overlap
