# Base de datos: Ensembl
# Descripción: Datos de ensamblaje genómico Ensembl
# Fuente: https://www.ensembl.org/
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000141163	chrX	10001201	10001601	hg38	chrX	10001201	10001601	hg38	-	-	ENSR00001290757	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001290757	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141163	chrX	10001201	10001601	hg38	chrX	10001201	10001601	hg38	-	-	ENSR00001290757	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001290757	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141164	chrX	100081001	100081200	hg38	chrX	100081001	100081200	hg38	-	-	ENSR00000911315	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000911315	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141164	chrX	100081001	100081200	hg38	chrX	100081001	100081200	hg38	-	-	ENSR00000911315	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000911315	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141165	chrX	10029001	10029200	hg38	chrX	10029001	10029200	hg38	-	-	ENSR00001290758	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001290758	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000142728	chrX	38357401	38358400	hg38	chrX	38357401	38358400	hg38	-	-	ENSR00001291743	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001291743	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141886	chrX	13846000	13846400	hg38	chrX	13846000	13846400	hg38	-	-	ENSR00001158118	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001158118	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000143420	chrX	72525401	72525600	hg38	chrX	72525401	72525600	hg38	-	-	ENSR00001161207	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001161207	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141185	chrX	100865200	100865400	hg38	chrX	100865200	100865400	hg38	-	-	ENSR00001292978	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001292978	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000143420	chrX	72525401	72525600	hg38	chrX	72525401	72525600	hg38	-	-	ENSR00001161207	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001161207	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141965	chrX	144131401	144132600	hg38	chrX	144131401	144132600	hg38	-	-	ENSR00000916690	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000916690	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000144275	chr1	108686601	108686801	hg38	chr1	108686601	108686801	hg38	-	-	ENSR00000928756	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000928756	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000144923	chr1	12056401	12056600	hg38	chr1	12056401	12056600	hg38	-	-	ENSR00001165638	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001165638	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141415	chrX	113993801	113994600	hg38	chrX	113993801	113994600	hg38	-	-	ENSR00000913078	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000913078	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000143589	chrX	8635001	8635200	hg38	chrX	8635001	8635200	hg38	-	-	ENSR00000900814	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000900814	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000143449	chrX	74810801	74811800	hg38	chrX	74810801	74811800	hg38	-	-	ENSR00000909348	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000909348	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000142544	chrX	28981601	28982001	hg38	chrX	28981601	28982001	hg38	-	-	ENSR00001159047	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001159047	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000144276	chr1	108712800	108713000	hg38	chr1	108712800	108713000	hg38	-	-	ENSR00001170431	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001170431	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000145015	chr1	140001	140401	hg38	chr1	140001	140401	hg38	-	-	ENSR00001164751	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001164751	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000141522	chrX	119381601	119381800	hg38	chrX	119381601	119381800	hg38	-	-	ENSR00000913705	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000913705	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000142814	chrX	40958001	40958800	hg38	chrX	40958001	40958800	hg38	-	-	ENSR00001159651	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001159651	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000144542	chr1	114043601	114043800	hg38	chr1	114043601	114043800	hg38	-	-	ENSR00001170730	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001170730	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000144431	chr1	11225001	11226800	hg38	chr1	11225001	11226800	hg38	-	-	ENSR00000919718	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00000919718	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000142185	chrX	16149000	16149201	hg38	chrX	16149000	16149201	hg38	-	-	ENSR00001158285	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001158285	25887522	-	DNase-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000143179	chrX	55130001	55131000	hg38	chrX	55130001	55131000	hg38	-	-	ENSR00001160645	https://www.ensembl.org/homo_sapiens/Regulation/Summary?rf=ENSR00001160645	25887522	-	ChIP-seq	-	Ensembl	-	-	-	-	-	-	-	-	-	-	-	-
