crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample_name,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refsnp_ID,mutation_PMID,mutation_method
CRMHS00000005972,chr3,187443146,187468463,hg19,chr3,187725358,187750675,hg38,0.95,1,SE_00148,https://asntech.org/dbsuper/details.php?se_id=SE_00148,24119843,Adipose Nuclei,H3K27ac,super-enhancer,dbSUPER,BCL6,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005984,chr3,187800876,187841876,hg19,chr3,188083088,188124088,hg38,0.95,1,SE_60921,https://asntech.org/dbsuper/details.php?se_id=SE_60921,24332044,DHL6,H3K27ac,super-enhancer,dbSUPER,LPP,24332044,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005992,chr3,187951516,187966329,hg19,chr3,188233728,188248541,hg38,0.95,1,SE_60639,https://asntech.org/dbsuper/details.php?se_id=SE_60639,24332044,DHL6,H3K27ac,super-enhancer,dbSUPER,LPP,24332044,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006042,chr6,159500834,159556753,hg19,chr6,159079802,159135721,hg38,0.95,1,SE_10173,https://asntech.org/dbsuper/details.php?se_id=SE_10173,24119843,CD19 Primary,H3K27ac,super-enhancer,dbSUPER,TAGAP,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006108,chr8,128857956,128964803,hg19,chr8,127845710,127952557,hg38,0.95,1,SE_00891,https://asntech.org/dbsuper/details.php?se_id=SE_00891,24119843,Adrenal Gland,H3K27ac,super-enhancer,dbSUPER,PVT1,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006142,chr1,100021851,100088125,hg19,chr1,99556295,99622569,hg38,0.95,1,SE_55724,https://asntech.org/dbsuper/details.php?se_id=SE_55724,24119843,u87,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006143,chr1,100030162,100067611,hg19,chr1,99564606,99602055,hg38,0.95,1,SE_35548,https://asntech.org/dbsuper/details.php?se_id=SE_35548,24119843,HepG2,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006144,chr1,100054477,100068746,hg19,chr1,99588921,99603190,hg38,0.95,1,SE_38703,https://asntech.org/dbsuper/details.php?se_id=SE_38703,24119843,HUVEC,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006145,chr1,100054666,100072495,hg19,chr1,99589110,99606939,hg38,0.95,1,SE_67963,https://asntech.org/dbsuper/details.php?se_id=SE_67963,23582323,u87,MED1,super-enhancer,dbSUPER,PALMD,23582323,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006146,chr1,100100766,100159785,hg19,chr1,99635210,99694229,hg38,0.95,1,SE_00046,https://asntech.org/dbsuper/details.php?se_id=SE_00046,24119843,Adipose Nuclei,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006147,chr1,100103283,100159369,hg19,chr1,99637727,99693813,hg38,0.95,1,SE_38038,https://asntech.org/dbsuper/details.php?se_id=SE_38038,24119843,HUVEC,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006148,chr1,100108302,100152688,hg19,chr1,99642746,99687132,hg38,0.95,1,SE_55869,https://asntech.org/dbsuper/details.php?se_id=SE_55869,24119843,u87,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006149,chr1,100109277,100158688,hg19,chr1,99643721,99693132,hg38,0.95,1,SE_41100,https://asntech.org/dbsuper/details.php?se_id=SE_41100,24119843,Left Ventricle,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006150,chr1,100109397,100158403,hg19,chr1,99643841,99692847,hg38,0.95,1,SE_51309,https://asntech.org/dbsuper/details.php?se_id=SE_51309,24119843,Skeletal Muscle,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006151,chr1,100109830,100170656,hg19,chr1,99644274,99705100,hg38,0.95,1,SE_35292,https://asntech.org/dbsuper/details.php?se_id=SE_35292,24119843,HeLa,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006152,chr1,100109973,100129273,hg19,chr1,99644417,99663717,hg38,0.95,1,SE_36832,https://asntech.org/dbsuper/details.php?se_id=SE_36832,24119843,HMEC,H3K27ac,super-enhancer,dbSUPER,PALMD,24119843,closest,-,-,-,-,-,-,-,-,-
