# Base de datos: DiseaseEnhancer
# Descripción: Enhancers asociados a enfermedades
# Fuente: http://biocc.hrbmu.edu.cn/DiseaseEnhancer/
# Dimensiones totales: 4059 filas, 30 columnas
# Filas en esta muestra: 25
# Estrategia: D_diversity (máxima diversidad léxica)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refseq_ID	mutation_PMID	mutation_method
CRMHS00027685823	chr1	155187002	155196600	hg19	chr1	155217211	155226809	hg38	0.95	1	DE_01025	-	29093029	-	-	-	DiseaseEnhancer	CKS1B	29093029	-	-	-	-	mesh:D051436	29093029	-	rs2049805	29093029	-
CRMHS00027685667	chr11	69083602	69090000	hg19	chr11	69316135	69322333	hg38	0.95	0.968745116424441	DE_00098	-	27723759	-	-	-	DiseaseEnhancer	CCND1	27723759	-	-	-	-	mesh:D001943	27723759	-	-	-	-
CRMHS00000005941	chr21	45600202	45618000	hg19	chr21	44180319	44198117	hg38	0.95	1	DE_00626	-	24196873	-	-	-	DiseaseEnhancer	ICOSLG	24196873	-	-	-	-	mesh:D003093	24196873	-	rs762421	24196873	-
CRMHS00027685647	chr4	88923202	88924800	hg19	chr4	88002050	88003648	hg38	0.95	1	DE_01015	-	28930109	-	-	-	DiseaseEnhancer	ABCG2	28930109	-	-	-	-	DOID:1612	28930109	-	rs12508471	28930109	-
CRMHS00000006099	chr8	128398602	128417000	hg19	chr8	127386357	127404755	hg38	0.95	1	DE_00377	-	19561607	-	-	-	DiseaseEnhancer	CCAT1	19561607	-	-	-	-	OMIM:176807	19561607	-	rs6983267	19561607	-
CRMHS00000005886	chr17	71006202	71007000	hg19	chr17	73010063	73010861	hg38	0.95	1	DE_00432	-	25900876	-	-	-	DiseaseEnhancer	-	-	-	-	-	-	OMIM:109800	25900876	-	rs11077654	25900876	-
CRMHS00000005931	chr20	32645602	32658600	hg19	chr20	34057796	34070794	hg38	0.95	1	DE_00508	-	22976474	-	-	-	DiseaseEnhancer	RALY	22976474	-	-	-	-	OMIM:114480	22976474	-	rs2284389	22976474	-
CRMHS00027685933	chr16	11440602	11455000	hg19	chr16	11346745	11361143	hg38	0.95	1	DE_01048	-	28945252	-	-	-	DiseaseEnhancer	CLEC16A	28945252	-	-	-	-	mesh:D009103	28945252	-	rs8052717	28945252	-
CRMHS00000005792	chr10	6074002	6104800	hg19	chr10	6032039	6062837	hg38	0.95	1	DE_00540	-	27876533	-	-	-	DiseaseEnhancer	IL2RA	27876533	-	-	-	-	DOID:2377	27876533	-	rs12722502	27876533	-
CRMHS00000005944	chr22	39539602	39548000	hg19	chr22	39143597	39151995	hg38	0.95	1	DE_00652	-	23955597	-	-	-	DiseaseEnhancer	CBX7	23955597	-	-	-	-	DOID:9538	23955597	-	rs877529	23955597	-
CRMHS00000005894	chr19	30295402	30298800	hg19	chr19	29804495	29807893	hg38	0.95	1	DE_00648	-	27514407	-	-	-	DiseaseEnhancer	CCNE1	27514407	-	-	-	-	DOID:11054	27514407	-	rs8102137	27514407	-
CRMHS00000006127	chr9	22123402	22125200	hg19	chr9	22123403	22125201	hg38	0.95	1	DE_00413	-	26487755	-	-	-	DiseaseEnhancer	MTAP	26487755	-	-	-	-	mesh:D003324	26487755	-	rs10811656	26487755	-
CRMHS00000006029	chr6	12902202	12905800	hg19	chr6	12901970	12905568	hg38	0.95	1	DE_01054	-	25838425	-	-	-	DiseaseEnhancer	EDN1	25838425	-	-	-	-	mesh:D008881	25838425	-	rs9349379	25838425	-
CRMHS00000005924	chr2	71077802	71079600	hg19	chr2	70850672	70852470	hg38	0.95	1	DE_00573	-	26482879	-	-	-	DiseaseEnhancer	CD207	26482879	-	-	-	-	OMIM:603165	26482879	-	rs4852714	26482879	-
CRMHS00027685861	chr12	12002002	12021600	hg19	chr12	11849068	11868666	hg38	0.95	1	DE_00505	-	27145994	-	-	-	DiseaseEnhancer	ETV6	27145994	-	-	-	-	mesh:D015179	27145994	-	rs2238126	27145994	-
CRMHS00000006023	chr5	177421802	177423000	hg19	chr5	177994801	177995999	hg38	0.95	1	DE_00479	-	22745233	-	-	-	DiseaseEnhancer	PROP1	22745233	-	-	-	-	DOID:9410	22745233	-	rs73346254	22745233	-
CRMHS00000005890	chr18	56081002	56086000	hg19	chr18	58413770	58418768	hg38	0.95	1	DE_00558	-	24995424	-	-	-	DiseaseEnhancer	MIR122	24995424	-	-	-	-	DOID:684	24995424	-	rs4309483	24995424	-
CRMHS00000005971	chr3	185499202	185517400	hg19	chr3	185781414	185799612	hg38	0.95	1	DE_00598	-	21035756	-	-	-	DiseaseEnhancer	IGF2BP2	21035756	-	-	-	-	mesh:D003924	21035756	-	rs7646518	21035756	-
CRMHS00000005829	chr13	73925602	73926000	hg19	chr13	73351465	73351863	hg38	0.95	1	DE_00553	-	28172817	-	-	-	DiseaseEnhancer	DIS3	28172817	-	-	-	-	mesh:D010190	28172817	-	rs386772267	28172817	-
CRMHS00000005838	chr14	29999405	30001405	hg19	chr14	29530199	29532199	hg38	0.95	1	DE_00439	-	27760116	-	-	-	DiseaseEnhancer	FOXG1	27760116	-	-	-	-	-	27760116	-	rs1191551	27760116	-
CRMHS00000006084	chr7	6511002	6522600	hg19	chr7	6471371	6482969	hg38	0.95	1	DE_00636	-	27486767	-	-	-	DiseaseEnhancer	KDELR2	27486767	-	-	-	-	DOID:1793	27486767	-	rs7799635	27486767	-
CRMHS00000005845	chr15	32991002	32994400	hg19	chr15	32698801	32702199	hg38	0.95	1	DE_00484	-	26043427	-	-	-	DiseaseEnhancer	GREM1	26043427	-	-	-	-	DOID:0050567	26043427	-	rs16969681	26043427	-
CRMHS00000006140	chrX	51504931	51506931	hg19	chrX	51761835	51763835	hg38	0.95	1	DE_00575	-	24497837	-	-	-	DiseaseEnhancer	NUDT11	24497837	-	-	-	-	mesh:D011471	24497837	-	rs4907792(rs59228802)	24497837	-
CRMHS00000005746	chr1	109793202	109825400	hg19	chr1	109250580	109282778	hg38	0.95	1	DE_00459	-	26477595	-	-	-	DiseaseEnhancer	SORT1	26477595	-	-	-	-	mesh:D003327	26477595	-	rs12740374	26477595	-
CRMHS00000005897	chr19	51772802	51774802	hg19	chr19	51269548	51271548	hg38	0.95	1	DE_00496	-	26449484	-	-	-	DiseaseEnhancer	LRRC4B	26449484	-	-	-	-	DOID:9970	26449484	-	rs1878047	26449484	-
