crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample_name,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refsnp_ID,mutation_PMID,mutation_method
CRMHS00000005972,chr3,187443146,187468463,hg19,chr3,187725358,187750675,hg38,0.95,1.0,SE_00148,https://asntech.org/dbsuper/details.php?se_id=SE_00148,24119843,Adipose Nuclei,H3K27ac,super-enhancer,dbSUPER,BCL6,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005984,chr3,187800876,187841876,hg19,chr3,188083088,188124088,hg38,0.95,1.0,SE_60921,https://asntech.org/dbsuper/details.php?se_id=SE_60921,24332044,DHL6,H3K27ac,super-enhancer,dbSUPER,LPP,24332044,closest,-,-,-,-,-,-,-,-,-
CRMHS00000005992,chr3,187951516,187966329,hg19,chr3,188233728,188248541,hg38,0.95,1.0,SE_60639,https://asntech.org/dbsuper/details.php?se_id=SE_60639,24332044,DHL6,H3K27ac,super-enhancer,dbSUPER,LPP,24332044,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006042,chr6,159500834,159556753,hg19,chr6,159079802,159135721,hg38,0.95,1.0,SE_10173,https://asntech.org/dbsuper/details.php?se_id=SE_10173,24119843,CD19 Primary,H3K27ac,super-enhancer,dbSUPER,TAGAP,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006108,chr8,128857956,128964803,hg19,chr8,127845710,127952557,hg38,0.95,1.0,SE_00891,https://asntech.org/dbsuper/details.php?se_id=SE_00891,24119843,Adrenal Gland,H3K27ac,super-enhancer,dbSUPER,PVT1,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000009221,chr1,182564719,182622484,hg19,chr1,182595584,182653349,hg38,0.95,1.0,SE_66203,https://asntech.org/dbsuper/details.php?se_id=SE_66203,24332044,Ly1,BRD4,super-enhancer,dbSUPER,DHX9,24332044,closest,-,-,-,-,-,-,-,-,-
CRMHS00000007576,chr1,153579766,153590628,hg19,chr1,153607290,153618152,hg38,0.95,1.0,SE_23345,https://asntech.org/dbsuper/details.php?se_id=SE_23345,24119843,Colon Crypt 1,H3K27ac,super-enhancer,dbSUPER,S100A16,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000010604,chr1,22085538,22119057,hg19,chr1,21759045,21792564,hg38,0.95,1.0,SE_32666,https://asntech.org/dbsuper/details.php?se_id=SE_32666,24119843,GM12878,H3K27ac,super-enhancer,dbSUPER,USP48,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000006181,chr1,101388819,101422212,hg19,chr1,100923263,100956656,hg38,0.95,1.0,SE_18863,https://asntech.org/dbsuper/details.php?se_id=SE_18863,24119843,CD4p CD25- Il17- PMAstim Th,H3K27ac,super-enhancer,dbSUPER,SLC30A7,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000010603,chr1,22085514,22111001,hg19,chr1,21759021,21784508,hg38,0.95,1.0,SE_11802,https://asntech.org/dbsuper/details.php?se_id=SE_11802,24119843,CD20,H3K27ac,super-enhancer,dbSUPER,USP48,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000007716,chr1,154940822,154949255,hg19,chr1,154968346,154976779,hg38,0.95,1.0,SE_50727,https://asntech.org/dbsuper/details.php?se_id=SE_50727,24119843,Sigmoid Colon,H3K27ac,super-enhancer,dbSUPER,SHC1,24119843,closest,-,-,-,-,-,-,-,-,-
CRMHS00000012307,chr1,3244019,3271865,hg19,chr1,3327455,3355301,hg38,0.95,1.0,SE_49549,https://asntech.org/dbsuper/details.php?se_id=SE_49549,24119843,Right Ventricle,H3K27ac,super-enhancer,dbSUPER,PRDM16,24119843,closest,-,-,-,-,-,-,-,-,-
