chrom,start,stop,se_id,gene_symbol,cell_name,rank
chr16,29754409,29758833,SE_16035,C16orf54,CD4 Naive Primary 7pool,237
chr3,186646741,186704697,SE_48802,ST6GAL1,Right Atrium,252
chr1,151023771,151033240,SE_54319,CDC42SE1,Spleen,1038
chr19,52044069,52077169,SE_39860,ZNF175,K562,20
chr15,60653876,60701540,SE_67563,ANXA2,u87,118
chr8,89113446,89143908,SE_46611,MMP16,Osteoblasts,1079
chr17,7736747,7760937,SE_24752,TMEM88,Colon Crypt 3,72
chr2,60563072,60599761,SE_60566,MIR4432,DHL6,177
chr9,79486615,79522504,SE_07014,PRUNE2,Brain Hippocampus Middle 150,341
chr6,64281015,64284621,SE_21749,PTP4A1,CD8 Naive 7pool,305
chr10,1088778,1110655,SE_15004,WDR37,CD4 Memory Primary 7pool,631
chr20,17660405,17665540,SE_57241,RRBP1,VACO 400,520
chr14,69251086,69263731,SE_64629,ZFP36L1,NHEK,411
chr12,6288437,6346293,SE_54512,CD9,Stomach Smooth Muscle,34
chr7,23331322,23336176,SE_35579,MALSU1,HepG2,265
chr11,122703469,122727888,SE_22795,CRTAM,CD8 primiary,514
chr22,41104939,41129780,SE_31191,MKL1,Fetal Thymus,299
chr13,111032824,111073893,SE_53243,COL4A2,Small Intestine,908
chr4,89723730,89745889,SE_28242,FAM13A,Fetal Intestine,629
chrX,12964841,13049060,SE_50189,TMSB4X,Sigmoid Colon,140
chr21,36418255,36432187,SE_51923,RUNX1,Skeletal Muscle Myoblast,233
chr18,3446153,3460218,SE_11400,TGIF1,CD20,557
chr5,156797427,156818413,SE_02804,ADAM19,Astrocytes,569
chr16,28145035,28224245,SE_17479,XPO6,CD4p CD25- CD45RAp Naive,187
chr1,235489531,235500911,SE_13298,GGPS1,CD34 Primary RO01480,440
