# Base de datos: DiseaseEnhancer
# Descripción: Enhancers asociados a enfermedades
# Fuente: http://biocc.hrbmu.edu.cn/DiseaseEnhancer/
# Dimensiones totales: 4059 filas, 30 columnas
# Filas en esta muestra: 100
# Estrategia: A_head (cabecera determinista)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refseq_ID	mutation_PMID	mutation_method
CRMHS00000001594	chr5	124651163	124654187	hg19	chr5	125315470	125318494	hg38	0.95	1	DE_00314	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	OMIM:169500	25701871	-	-	-	-
CRMHS00000001594	chr5	124651163	124654187	hg19	chr5	125315470	125318494	hg38	0.95	1	DE_00314	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	DOID:0060785	25701871	-	-	-	-
CRMHS00000001595	chr5	124708335	124710392	hg19	chr5	125372642	125374699	hg38	0.95	1	DE_00313	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	OMIM:169500	25701871	-	-	-	-
CRMHS00000001595	chr5	124708335	124710392	hg19	chr5	125372642	125374699	hg38	0.95	1	DE_00313	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	DOID:0060785	25701871	-	-	-	-
CRMHS00000001596	chr5	125344507	125346243	hg19	chr5	126008814	126010550	hg38	0.95	1	DE_00315	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	OMIM:169500	25701871	-	-	-	-
CRMHS00000001596	chr5	125344507	125346243	hg19	chr5	126008814	126010550	hg38	0.95	1	DE_00315	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	DOID:0060785	25701871	-	-	-	-
CRMHS00000001610	chr5	134769599	134772144	hg19	chr5	135433909	135436454	hg38	0.95	1	DE_00020	-	23601627	-	-	-	DiseaseEnhancer	PITX1	23601627	-	-	-	-	OMIM:186550	23601627	-	-	-	-
CRMHS00000002824	chr10	43581812	43582711	hg19	chr10	43086364	43087263	hg38	0.95	1	DE_00002	-	16269442	-	-	-	DiseaseEnhancer	RET	16269442	-	-	-	-	DOID:10487	16269442	-	-	-	-
CRMHS00000002824	chr10	43581812	43582711	hg19	chr10	43086364	43087263	hg38	0.95	1	DE_00002	-	16269442	-	-	-	DiseaseEnhancer	RET	16269442	-	-	-	-	mesh:D006627	16269442	-	-	-	-
CRMHS00000005454	chr14	60973427	60975430	hg19	chr14	60506709	60508712	hg38	0.95	1	DE_00994	-	28717659	-	-	-	DiseaseEnhancer	SIX6	28717659	-	-	-	-	OMIM:137760	28717659	-	-	-	-
CRMHS00000005454	chr14	60973427	60975430	hg19	chr14	60506709	60508712	hg38	0.95	1	DE_00994	-	28717659	-	-	-	DiseaseEnhancer	SIX6	28717659	-	-	-	-	DOID:1070	28717659	-	-	-	-
CRMHS00000005454	chr14	60973427	60975430	hg19	chr14	60506709	60508712	hg38	0.95	1	DE_00994	-	28717659	-	-	-	DiseaseEnhancer	SIX6	28717659	-	-	-	-	mesh:D005902	28717659	-	-	-	-
CRMHS00000005707	chr8	129543949	129554294	hg19	chr8	128531703	128542048	hg38	0.95	1	DE_00015	-	26656844	-	-	-	DiseaseEnhancer	MYC	26656844	-	-	-	-	DOID:0050939	26656844	-	-	-	-
