experiment,model,run,db_a,db_b,n_uris_a,n_uris_b,intersection,union,jaccard
E1,gpt-4o_A_head,1,FANTOM5,dbSUPER,18,13,4,27,0.1481
E1,gpt-4o_B_random,1,FANTOM5,dbSUPER,10,12,2,20,0.1
E1,gpt-4o_C_stratified,1,FANTOM5,dbSUPER,17,12,3,26,0.1154
E1,gpt-4o_D_diversity,1,FANTOM5,dbSUPER,12,13,2,23,0.087
E1,llama3.1_8b_A_head,1,FANTOM5,dbSUPER,4,15,1,18,0.0556
E1,llama3.1_8b_B_random,1,FANTOM5,dbSUPER,6,2,1,7,0.1429
E1,llama3.1_8b_C_stratified,1,FANTOM5,dbSUPER,15,33,3,45,0.0667
E1,llama3.1_8b_D_diversity,1,FANTOM5,dbSUPER,24,58,12,70,0.1714
E3,gpt-4o_legacy,1,DiseaseEnhancer,FANTOM5,37,34,27,44,0.6136
E3,gpt-4o_legacy,1,DiseaseEnhancer,HACER,37,40,25,52,0.4808
E3,gpt-4o_legacy,1,DiseaseEnhancer,dbSUPER,37,39,26,50,0.52
E3,gpt-4o_legacy,1,FANTOM5,HACER,34,40,28,46,0.6087
E3,gpt-4o_legacy,1,FANTOM5,dbSUPER,34,39,27,46,0.587
E3,gpt-4o_legacy,1,HACER,dbSUPER,40,39,25,54,0.463
E3,gpt-4o_legacy,2,DiseaseEnhancer,FANTOM5,39,40,26,53,0.4906
E3,gpt-4o_legacy,2,DiseaseEnhancer,HACER,39,41,24,56,0.4286
E3,gpt-4o_legacy,2,DiseaseEnhancer,dbSUPER,39,40,27,52,0.5192
E3,gpt-4o_legacy,2,FANTOM5,HACER,40,41,27,54,0.5
E3,gpt-4o_legacy,2,FANTOM5,dbSUPER,40,40,26,54,0.4815
E3,gpt-4o_legacy,2,HACER,dbSUPER,41,40,26,55,0.4727
E3,gpt-4o_legacy,3,DiseaseEnhancer,FANTOM5,38,40,27,51,0.5294
E3,gpt-4o_legacy,3,DiseaseEnhancer,HACER,38,42,27,53,0.5094
E3,gpt-4o_legacy,3,DiseaseEnhancer,dbSUPER,38,40,26,52,0.5
E3,gpt-4o_legacy,3,FANTOM5,HACER,40,42,31,51,0.6078
E3,gpt-4o_legacy,3,FANTOM5,dbSUPER,40,40,28,52,0.5385
E3,gpt-4o_legacy,3,HACER,dbSUPER,42,40,26,56,0.4643
E3,gpt-4o_ragapi,1,DiseaseEnhancer,FANTOM5,26,48,8,66,0.1212
E3,gpt-4o_ragapi,1,DiseaseEnhancer,HACER,26,39,9,56,0.1607
E3,gpt-4o_ragapi,1,DiseaseEnhancer,dbSUPER,26,41,9,58,0.1552
E3,gpt-4o_ragapi,1,FANTOM5,HACER,48,39,11,76,0.1447
E3,gpt-4o_ragapi,1,FANTOM5,dbSUPER,48,41,20,69,0.2899
E3,gpt-4o_ragapi,1,HACER,dbSUPER,39,41,17,63,0.2698
E3,gpt-4o_ragapi,2,DiseaseEnhancer,FANTOM5,28,47,8,67,0.1194
E3,gpt-4o_ragapi,2,DiseaseEnhancer,HACER,28,45,9,64,0.1406
E3,gpt-4o_ragapi,2,DiseaseEnhancer,dbSUPER,28,41,8,61,0.1311
E3,gpt-4o_ragapi,2,FANTOM5,HACER,47,45,11,81,0.1358
E3,gpt-4o_ragapi,2,FANTOM5,dbSUPER,47,41,20,68,0.2941
E3,gpt-4o_ragapi,2,HACER,dbSUPER,45,41,16,70,0.2286
E3,gpt-4o_ragapi,3,DiseaseEnhancer,FANTOM5,38,48,26,60,0.4333
E3,gpt-4o_ragapi,3,DiseaseEnhancer,HACER,38,44,11,71,0.1549
E3,gpt-4o_ragapi,3,DiseaseEnhancer,dbSUPER,38,38,20,56,0.3571
E3,gpt-4o_ragapi,3,FANTOM5,HACER,48,44,11,81,0.1358
E3,gpt-4o_ragapi,3,FANTOM5,dbSUPER,48,38,23,63,0.3651
E3,gpt-4o_ragapi,3,HACER,dbSUPER,44,38,9,73,0.1233
E3,llama3.1_8b_legacy,1,DiseaseEnhancer,FANTOM5,35,56,33,58,0.569
E3,llama3.1_8b_legacy,1,DiseaseEnhancer,HACER,35,56,33,58,0.569
E3,llama3.1_8b_legacy,1,DiseaseEnhancer,dbSUPER,35,56,33,58,0.569
E3,llama3.1_8b_legacy,1,FANTOM5,HACER,56,56,54,58,0.931
E3,llama3.1_8b_legacy,1,FANTOM5,dbSUPER,56,56,56,56,1.0
E3,llama3.1_8b_legacy,1,HACER,dbSUPER,56,56,54,58,0.931
E3,llama3.1_8b_legacy,2,DiseaseEnhancer,FANTOM5,56,56,56,56,1.0
E3,llama3.1_8b_legacy,2,DiseaseEnhancer,HACER,56,56,54,58,0.931
