chrom,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockSizes,blockStarts
chr7,19157963,19158297,chr7:19157963-19158297,2,.,19158270,19158271,"0,0,0",2,"283,1","0,333"
chr14,21749950,21750343,chr14:21749950-21750343,2,.,21750146,21750147,"0,0,0",2,"1,1","0,392"
chr1,59492942,59493154,chr1:59492942-59493154,2,.,59493035,59493036,"0,0,0",2,"1,25","0,187"
chr21,39543838,39544086,chr21:39543838-39544086,2,.,39544002,39544003,"0,0,0",2,"83,1","0,247"
chr11,109965770,109966113,chr11:109965770-109966113,57,.,109965868,109965869,"0,0,0",2,"40,186","0,157"
chr12,98615068,98615264,chr12:98615068-98615264,2,.,98615165,98615166,"0,0,0",2,"1,1","0,195"
chr9,84693683,84693809,chr9:84693683-84693809,2,.,84693690,84693691,"0,0,0",2,"1,112","0,14"
chr2,173378612,173378884,chr2:173378612-173378884,3,.,173378726,173378727,"0,0,0",2,"29,71","0,201"
chr22,24153288,24153648,chr22:24153288-24153648,7,.,24153391,24153392,"0,0,0",2,"1,154","0,206"
chr5,151894600,151894915,chr5:151894600-151894915,2,.,151894690,151894691,"0,0,0",2,"1,135","0,180"
chr6,53412768,53413364,chr6:53412768-53413364,558,.,53413025,53413026,"0,0,0",2,"238,319","0,277"
chr17,12928606,12928939,chr17:12928606-12928939,6,.,12928834,12928835,"0,0,0",2,"126,1","0,332"
chr16,51761214,51761312,chr16:51761214-51761312,2,.,51761264,51761265,"0,0,0",2,"4,1","0,97"
chr3,123376969,123377163,chr3:123376969-123377163,4,.,123377135,123377136,"0,0,0",2,"142,2","0,192"
chr3,23752138,23752437,chr3:23752138-23752437,5,.,23752198,23752199,"0,0,0",2,"1,179","0,120"
chr18,76498631,76498821,chr18:76498631-76498821,2,.,76498725,76498726,"0,0,0",2,"1,1","0,189"
chr19,39891902,39892845,chr19:39891902-39892845,1215,.,39892339,39892340,"0,0,0",2,"412,480","0,463"
chrX,39646201,39646652,chrX:39646201-39646652,1061,.,39646228,39646229,"0,0,0",2,"15,411","0,40"
chr20,61505589,61505880,chr20:61505589-61505880,20,.,61505711,61505712,"0,0,0",2,"6,51","0,240"
chrY,2817706,2817951,chrY:2817706-2817951,8,.,2817826,2817827,"0,0,0",2,"4,7","0,238"
chr10,126974990,126975243,chr10:126974990-126975243,2,.,126975116,126975117,"0,0,0",2,"1,1","0,252"
chr4,154354806,154355109,chr4:154354806-154355109,6,.,154354962,154354963,"0,0,0",2,"11,1","0,302"
chr15,38542676,38542972,chr15:38542676-38542972,2,.,38542823,38542824,"0,0,0",2,"1,1","0,295"
chr13,49433948,49434094,chr13:49433948-49434094,2,.,49434015,49434016,"0,0,0",2,"1,12","0,134"
chr8,1910638,1910781,chr8:1910638-1910781,2,.,1910697,1910698,"0,0,0",2,"1,24","0,119"
