# Base de datos: dbSUPER
# Descripción: Super-enhancers con coordenadas, líneas celulares y genes diana
# Fuente: https://asntech.org/dbsuper/
# Dimensiones totales: 69205 filas, 7 columnas
# Filas en esta muestra: 50
# Estrategia: A_head (canónica del TFM)

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

chrom	 start	 stop	 se_id	 gene_symbol	 cell_name	 rank
chr1	120485363	120615071	SE_00001	NOTCH2	Adipose Nuclei	1
chr13	110838836	111112228	SE_00002	COL4A2	Adipose Nuclei	2
chr1	145206326	145293008	SE_00003	NOTCH2NL	Adipose Nuclei	3
chr5	158117077	158371526	SE_00004	EBF1	Adipose Nuclei	4
chr2	218548183	218895526	SE_00005	TNS1	Adipose Nuclei	5
chr2	54586565	54904699	SE_00006	SPTBN1	Adipose Nuclei	6
chr6	112420456	112652968	SE_00007	LAMA4	Adipose Nuclei	7
chr3	12327760	12522419	SE_00008	PPARG	Adipose Nuclei	8
chr1	12455848	12698932	SE_00009	DHRS3	Adipose Nuclei	9
chr8	30239218	30455499	SE_00010	RBPMS	Adipose Nuclei	10
chr11	111468184	111670113	SE_00011	PPP2R1B	Adipose Nuclei	11
chr10	82143428	82297600	SE_00012	TSPAN14	Adipose Nuclei	12
chr2	145147464	145289272	SE_00013	ZEB2	Adipose Nuclei	13
chr1	92148226	92358240	SE_00014	TGFBR3	Adipose Nuclei	14
chr10	114708122	114899787	SE_00015	TCF7L2	Adipose Nuclei	15
chr10	97067610	97208276	SE_00016	PDLIM1	Adipose Nuclei	16
chr9	14132520	14325750	SE_00017	NFIB	Adipose Nuclei	17
chr7	116124962	116229755	SE_00018	CAV1	Adipose Nuclei	18
chr22	46436313	46491627	SE_00019	PRR34	Adipose Nuclei	19
chr15	62681468	62918670	SE_00020	MGC15885	Adipose Nuclei	20
chr9	124030416	124136617	SE_00021	GSN	Adipose Nuclei	21
chr9	112747903	112917636	SE_00022	AKAP2	Adipose Nuclei	22
chr5	158457028	158534580	SE_00023	EBF1	Adipose Nuclei	23
chr19	13106663	13216504	SE_00024	LYL1	Adipose Nuclei	24
chr3	127414600	127543388	SE_00025	MGLL	Adipose Nuclei	25
chr7	80212197	80311799	SE_00026	CD36	Adipose Nuclei	26
chr1	61541623	61748432	SE_00027	NFIA	Adipose Nuclei	27
chr11	65250988	65277615	SE_00028	MALAT1	Adipose Nuclei	28
chr8	62494289	62637126	SE_00029	ASPH	Adipose Nuclei	29
chr2	1631156	1749787	SE_00030	PXDN	Adipose Nuclei	30
chr3	134026936	134116287	SE_00031	AMOTL2	Adipose Nuclei	31
chr1	22216950	22289038	SE_00032	HSPG2	Adipose Nuclei	32
chr1	162581349	162728101	SE_00033	DDR2	Adipose Nuclei	33
chr16	20860093	20943369	SE_00034	LYRM1	Adipose Nuclei	34
chr15	67335503	67451448	SE_00035	SMAD3	Adipose Nuclei	35
chr15	78282987	78379012	SE_00036	TBC1D2B	Adipose Nuclei	36
chr5	131744052	131837440	SE_00037	IRF1	Adipose Nuclei	37
chr1	182987857	183119248	SE_00038	LAMC1	Adipose Nuclei	38
chr2	36578955	36718688	SE_00039	CRIM1	Adipose Nuclei	39
chr1	201664131	201763021	SE_00040	NAV1	Adipose Nuclei	40
chr12	45582850	45752605	SE_00041	ANO6	Adipose Nuclei	41
chr2	165547251	165708317	SE_00042	COBLL1	Adipose Nuclei	42
chr6	111857372	111951393	SE_00043	TRAF3IP2 	Adipose Nuclei	43
chr4	87919434	88044361	SE_00044	AFF1	Adipose Nuclei	44
chr1	8402564	8538135	SE_00045	RERE	Adipose Nuclei	45
chr1	100100766	100159785	SE_00046	PALMD	Adipose Nuclei	46
chr5	142656014	142786266	SE_00047	NR3C1	Adipose Nuclei	47
chr6	53100514	53226188	SE_00048	ELOVL5	Adipose Nuclei	48
chr3	171756467	171898840	SE_00049	FNDC3B	Adipose Nuclei	49
chr14	74162537	74262829	SE_00050	ELMSAN1	Adipose Nuclei	50
