# Base de datos: ENdb
# Descripción: Enhancers validados experimentalmente con evidencias ChIP-seq
# Fuente: http://www.licpathway.net/ENdb/
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	uniprot_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000003515	chr12	114463712	114464080	hg19	chr12	114025907	114026275	hg38	0.95	1.0	E_01_358	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_358	22543974	HeLa	ChIP-seq	enhancer	ENdb	TBX5	22543974	PCR	Q99593	22543974	EMSA	mesh:D006330	22543974	-	-	-	-
CRMHS00000003515	chr12	114463712	114464080	hg19	chr12	114025907	114026275	hg38	0.95	1.0	E_01_358	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_358	22543974	HeLa	ChIP-seq	enhancer	ENdb	TBX5	22543974	EMSA	Q99593	22543974	EMSA	DOID:1682	22543974	-	-	-	-
CRMHS00000003515	chr12	114463712	114464080	hg19	chr12	114025907	114026275	hg38	0.95	1.0	E_01_358	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_358	22543974	HeLa	ChIP-seq	enhancer	ENdb	TBX5	22543974	EMSA	Q99593	22543974	EMSA	mesh:D006330	22543974	-	-	-	-
CRMHS00000003515	chr12	114463712	114464080	hg19	chr12	114025907	114026275	hg38	0.95	1.0	E_01_358	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_358	22543974	293T	PCR	enhancer	ENdb	TBX5	22543974	PCR	Q99593	22543974	EMSA	mesh:D006330	22543974	-	-	-	-
CRMHS00000003515	chr12	114463712	114464080	hg19	chr12	114025907	114026275	hg38	0.95	1.0	E_01_358	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_358	22543974	293T	PCR	enhancer	ENdb	TBX5	22543974	PCR	Q99593	22543974	EMSA	DOID:1682	22543974	-	-	-	-
CRMHS00000005546	chr21	39823183	39825183	hg19	chr21	38451260	38453260	hg38	0.95	1.0	E_01_083	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_083	21536859	T-acute lymphoblastic leukemia (T-ALL)	ChIP-PCR	enhancer	ENdb	ERG	21536859	q3C	-	-	-	DOID:5602	21536859	-	-	-	-
CRMHS00000005352	chr1	67739940	67741075	hg19	chr1	67274257	67275392	hg38	0.95	1.0	E_01_404	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_404	26919345	GM12878	DNase I Hypersensitivity Assay	enhancer	ENdb	-	-	-	-	-	-	mesh:D013167	26919345	-	rs11209026	26916345	Luciferase Reporter Assay
CRMHS00000005557	chr22	24236392	24237411	hg19	chr22	23894205	23895224	hg38	0.95	1.0	E_01_046	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_046	21087445	293T	Luciferase Reporter Assay	enhancer	ENdb	MIF	21087445	PCR	P08047	21087445	EMSA	mesh:D001172	21087445	-	-	-	-
CRMHS00000005426	chr12	48368875	48369590	hg19	chr12	47975092	47975807	hg38	0.95	1.0	E_01_180	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_180	25081415	10T1/2	EMSA	enhancer	ENdb	COL2A1	25081415	ChIP	P35712	25081415	EMSA	mesh:D010003	25081415	-	-	-	-
CRMHS00000005585	chr3	34181595	34184395	hg19	chr3	34140103	34142903	hg38	0.95	1.0	E_01_178	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_178	24997565	T Cell	ChIP-seq	enhancer	ENdb	CCR4	24997565	ChIP-seq	-	-	-	mesh:D001249	24997565	-	-	-	-
