chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts
chr1	839741	840250	chr1:839741-840250	24	.	839787	839788	0,0,0	2	20,436	0,73
chr1	840753	841210	chr1:840753-841210	32	.	840811	840812	0,0,0	2	8,347	0,110
chr1	845485	845678	chr1:845485-845678	2	.	845581	845582	0,0,0	2	1,1	0,192
chr1	855764	856157	chr1:855764-856157	2	.	855855	855856	0,0,0	2	1,210	0,183
chr1	856539	856757	chr1:856539-856757	2	.	856713	856714	0,0,0	2	146,15	0,203
chr1	858256	858648	chr1:858256-858648	5	.	858447	858448	0,0,0	2	1,10	0,382
chr1	868565	868684	chr1:868565-868684	2	.	868624	868625	0,0,0	2	1,1	0,118
chr1	918449	918555	chr1:918449-918555	18	.	918504	918505	0,0,0	2	7,1	0,105
chr1	936652	937138	chr1:936652-937138	7	.	936859	936860	0,0,0	2	191,261	0,225
chr1	941791	942135	chr1:941791-942135	2	.	942081	942082	0,0,0	2	238,1	0,343
chr1	945769	946034	chr1:945769-946034	17	.	945889	945890	0,0,0	2	1,25	0,240
chr1	956563	956812	chr1:956563-956812	143	.	956664	956665	0,0,0	2	57,102	0,147
chr1	993498	993878	chr1:993498-993878	2	.	993663	993664	0,0,0	2	1,50	0,330
chr1	994198	994452	chr1:994198-994452	2	.	994302	994303	0,0,0	2	1,46	0,208
chr1	1004646	1004986	chr1:1004646-1004986	11	.	1004765	1004766	0,0,0	2	79,180	0,160
chr1	1005293	1005547	chr1:1005293-1005547	66	.	1005420	1005421	0,0,0	2	57,55	0,199
chr1	1008722	1008886	chr1:1008722-1008886	2	.	1008827	1008828	0,0,0	2	49,1	0,163
chr1	1014834	1015095	chr1:1014834-1015095	17	.	1014858	1014859	0,0,0	2	1,213	0,48
chr1	1060905	1061095	chr1:1060905-1061095	7	.	1060999	1061000	0,0,0	2	1,1	0,189
chr1	1063914	1064111	chr1:1063914-1064111	50	.	1063978	1063979	0,0,0	2	45,112	0,85
chr1	1070745	1071151	chr1:1070745-1071151	39	.	1070943	1070944	0,0,0	2	95,103	0,303
chr1	1093610	1093958	chr1:1093610-1093958	7	.	1093953	1093954	0,0,0	2	341,1	0,347
chr1	1098630	1098901	chr1:1098630-1098901	2	.	1098640	1098641	0,0,0	2	1,251	0,20
chr1	1107193	1107436	chr1:1107193-1107436	5	.	1107301	1107302	0,0,0	2	3,29	0,214
chr1	1114183	1114310	chr1:1114183-1114310	2	.	1114245	1114246	0,0,0	2	1,3	0,124
