# Base de datos: RefSeq
# Descripción: Secuencias de referencia NCBI RefSeq
# Fuente: https://www.ncbi.nlm.nih.gov/refseq/
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000000001	chr1	1069212	1069326	hg38	chr1	1069212	1069326	hg38	-	-	GeneID:127882498-2	https://identifiers.org/ncbigene:127882498	17135569	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000000002	chr1	1112509	1112803	hg38	chr1	1112509	1112803	hg38	-	-	GeneID:112577469	https://identifiers.org/ncbigene:112577469	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000000003	chr1	1692330	1692624	hg38	chr1	1692330	1692624	hg38	-	-	GeneID:121677382	https://identifiers.org/ncbigene:121677382	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000000004	chr1	2255790	2256084	hg38	chr1	2255790	2256084	hg38	-	-	GeneID:112577524-3	https://identifiers.org/ncbigene:112577524	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000000005	chr1	2391550	2391844	hg38	chr1	2391550	2391844	hg38	-	-	GeneID:112577525-2	https://identifiers.org/ncbigene:112577525	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000002523	chr9	8095553	8096166	hg38	chr9	8095553	8096166	hg38	-	-	GeneID:110120655	https://vista-enhancer.lbl.gov/cgi-bin/imagedb3.pl?form=presentation&show=1&experiment_id=304&organism_id=1	17130149	-	transgenic organism evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000001182	chr3	182240986	182243339	hg38	chr3	182240986	182243339	hg38	-	-	GeneID:110121064	https://identifiers.org/ncbigene:110121064	17130149	-	transgenic organism evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000003661	chr13	113187455	113187749	hg38	chr13	113187455	113187749	hg38	-	-	GeneID:112163646-3	https://identifiers.org/ncbigene:112163646	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000000037	chr1	11846819	11848609	hg38	chr1	11846819	11848609	hg38	-	-	GeneID:114827827	https://identifiers.org/ncbigene:114827827	17130149	-	transgenic organism evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000003660	chr13	112735835	112736129	hg38	chr13	112735835	112736129	hg38	-	-	GeneID:112163645-3	https://identifiers.org/ncbigene:112163645	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000001313	chr4	73436051	73436247	hg38	chr4	73436051	73436247	hg38	-	-	GeneID:111832670-38	https://identifiers.org/ncbigene:111832670	2462558	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000005127	chr22	42016561	42018126	hg38	chr22	42016561	42018126	hg38	-	-	GeneID:110740341-3	https://identifiers.org/ncbigene:110740341	25381333	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00029021388	chr1	16554902	16555402	hg38	chr1	16554902	16555402	hg38	-	-	GeneID:127267682	https://identifiers.org/ncbigene:127267682	30033119	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000000426	chr1	224334047	224334341	hg38	chr1	224334047	224334341	hg38	-	-	GeneID:112577544	https://identifiers.org/ncbigene:112577544	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000003933	chr15	74726411	74726433	hg38	chr15	74726411	74726433	hg38	-	-	GeneID:110467515-23	https://identifiers.org/ncbigene:110467515	9874250	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000003705	chr14	35550818	35551792	hg38	chr14	35550818	35551792	hg38	-	-	GeneID:110120857	https://vista-enhancer.lbl.gov/cgi-bin/imagedb3.pl?form=presentation&show=1&experiment_id=348&organism_id=1	17130149	-	transgenic organism evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000002223	chr7	117490035	117490210	hg38	chr7	117490035	117490210	hg38	-	-	GeneID:111674464-6	https://identifiers.org/ncbigene:111674464	19449463	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000005128	chr22	42369243	42369537	hg38	chr22	42369243	42369537	hg38	-	-	GeneID:112695099	https://identifiers.org/ncbigene:112695099	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00029021572	chr1	18902791	18903608	hg38	chr1	18902791	18903608	hg38	-	-	GeneID:127267855-3	https://identifiers.org/ncbigene:127267855	30033119	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000000595	chr2	64904495	64904789	hg38	chr2	64904495	64904789	hg38	-	-	GeneID:121725092	https://identifiers.org/ncbigene:121725092	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000002657	chr9	113964156	113965533	hg38	chr9	113964156	113965533	hg38	-	-	GeneID:110120726-3	https://identifiers.org/ncbigene:110120726	17130149	-	transgenic organism evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00029020626	chr1	3408461	3409038	hg38	chr1	3408461	3409038	hg38	-	-	GeneID:127267002	https://identifiers.org/ncbigene:127267002	30033119	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00029020405	chr1	1302373	1302972	hg38	chr1	1302373	1302972	hg38	-	-	GeneID:127266798	https://identifiers.org/ncbigene:127266798	30033119	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000001662	chr5	171031788	171033093	hg38	chr5	171031788	171033093	hg38	-	-	GeneID:110120714	https://identifiers.org/ncbigene:110120714	17130149	-	transgenic organism evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000003257	chr11	75428204	75428498	hg38	chr11	75428204	75428498	hg38	-	-	GeneID:111822946-2	https://identifiers.org/ncbigene:111822946	27701403	-	reporter gene assay evidence	enhancer	RefSeq	-	-	-	-	-	-	-	-	-	-	-	-
