chrom,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockSizes,blockStarts
chr7,47343610,47343904,chr7:47343610-47343904,7,.,47343860,47343861,"0,0,0",2,"212,4","0,290"
chr5,134727973,134728292,chr5:134727973-134728292,66,.,134728104,134728105,"0,0,0",2,"80,136","0,183"
chr1,8499087,8499228,chr1:8499087-8499228,8,.,8499176,8499177,"0,0,0",2,"46,7","0,134"
chr1,145032376,145032564,chr1:145032376-145032564,3,.,145032465,145032466,"0,0,0",2,"1,9","0,179"
chr17,1391218,1391783,chr17:1391218-1391783,20,.,1391433,1391434,"0,0,0",2,"182,316","0,249"
chr16,85368480,85368758,chr16:85368480-85368758,20,.,85368592,85368593,"0,0,0",2,"16,69","0,209"
chr13,30982567,30982782,chr13:30982567-30982782,13,.,30982668,30982669,"0,0,0",2,"65,77","0,138"
chr7,93231275,93231507,chr7:93231275-93231507,3,.,93231390,93231391,"0,0,0",2,"1,1","0,231"
chr10,44577303,44577623,chr10:44577303-44577623,3,.,44577462,44577463,"0,0,0",2,"1,1","0,319"
chr13,37430942,37430957,chr13:37430942-37430957,2,.,37430949,37430950,"0,0,0",2,"1,1","0,14"
chr22,50815545,50815813,chr22:50815545-50815813,2,.,50815667,50815668,"0,0,0",2,"1,23","0,245"
chr6,81568183,81568227,chr6:81568183-81568227,2,.,81568204,81568205,"0,0,0",2,"1,1","0,43"
chrX,119439706,119439875,chrX:119439706-119439875,12,.,119439799,119439800,"0,0,0",2,"19,1","0,168"
chr5,131981394,131981469,chr5:131981394-131981469,2,.,131981431,131981432,"0,0,0",2,"1,1","0,74"
chr4,123074024,123074337,chr4:123074024-123074337,147,.,123074285,123074286,"0,0,0",2,"216,5","0,308"
chr18,32829674,32829781,chr18:32829674-32829781,3,.,32829774,32829775,"0,0,0",2,"95,1","0,106"
chr12,7058106,7058233,chr12:7058106-7058233,19,.,7058156,7058157,"0,0,0",2,"1,26","0,101"
chr5,132404436,132404641,chr5:132404436-132404641,2,.,132404538,132404539,"0,0,0",2,"1,1","0,204"
chr2,207720131,207720140,chr2:207720131-207720140,2,.,207720135,207720136,"0,0,0",2,"1,1","0,8"
chr7,44855333,44855416,chr7:44855333-44855416,4,.,44855372,44855373,"0,0,0",2,"1,5","0,78"
chr1,185253692,185254037,chr1:185253692-185254037,5,.,185253864,185253865,"0,0,0",2,"1,1","0,344"
chr1,222060426,222060817,chr1:222060426-222060817,2,.,222060684,222060685,"0,0,0",2,"127,1","0,390"
chr6,11354196,11354778,chr6:11354196-11354778,11,.,11354540,11354541,"0,0,0",2,"287,180","0,402"
chr1,208441052,208441403,chr1:208441052-208441403,2,.,208441329,208441330,"0,0,0",2,"205,1","0,350"
chr11,66844888,66845141,chr11:66844888-66845141,9,.,66844943,66844944,"0,0,0",2,"1,142","0,111"
