crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refsnp_ID,mutation_PMID,mutation_method
CRMHS00000084542,chr11,117745558,117745882,hg19,chr11,117874843,117875167,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,DSCAML1,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000092636,chr14,37440604,37440817,hg19,chr14,36971399,36971612,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000078055,chr1,229166537,229166799,hg19,chr1,229030790,229031052,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,CCSAP,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000113107,chr21,43658296,43659061,hg19,chr21,42238186,42238951,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,UMODL1,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000130463,chr7,141371952,141372250,hg19,chr7,141672152,141672450,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,CLEC5A,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000122114,chr5,130976279,130976499,hg19,chr5,131640586,131640806,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,RAPGEF6,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000121147,chr4,7674956,7675119,hg19,chr4,7673229,7673392,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000105569,chr2,127838302,127838430,hg19,chr2,127080726,127080854,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,MAP3K2,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000102127,chr18,48333504,48333739,hg19,chr18,50807134,50807369,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000115897,chr3,151993494,151994006,hg19,chr3,152275705,152276217,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000128100,chr6,33818239,33818267,hg19,chr6,33850462,33850490,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000134939,chr8,37218787,37219218,hg19,chr8,37361269,37361700,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000098218,chr16,87759379,87759621,hg19,chr16,87725773,87726015,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,JPH3,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000104714,chr19,59058033,59058475,hg19,chr19,58546666,58547108,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000104474,chr19,52243151,52243317,hg19,chr19,51739898,51740064,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,SIGLEC10,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000114132,chr22,39954931,39955300,hg19,chr22,39558926,39559295,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000095037,chr15,59530226,59530327,hg19,chr15,59238027,59238128,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,RNF111,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000139287,chrX,152742295,152742894,hg19,chrX,153476837,153477436,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000112220,chr20,62435328,62435422,hg19,chr20,63803975,63804069,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,DNAJC5,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000140160,chrY,10023047,10023682,hg19,chrY,10185438,10186073,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000087300,chr12,109010746,109010939,hg19,chr12,108616970,108617163,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,SSH1,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000084097,chr10,99113804,99114043,hg19,chr10,97354047,97354286,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,ZFYVE27,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000136987,chr9,130788146,130788203,hg19,chr9,128025867,128025924,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,EEIG1,24670763,expression correlation,-,-,-,-,-,-,-,-,-
CRMHS00000091596,chr13,60207741,60207943,hg19,chr13,59633607,59633809,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
CRMHS00000100827,chr17,75769300,75769393,hg19,chr17,77773218,77773311,hg38,0.95,1,-,-,24670763,-,CAGE,-,FANTOM5,-,-,-,-,-,-,-,-,-,-,-,-
