# Base de datos: HACER
# Descripción: Human Active Cis-regulatory Elements database
# Fuente: http://bioinfo.vanderbilt.edu/AE/HACER/
# Dimensiones totales: 7476524 filas, 30 columnas
# Filas en esta muestra: 100
# Estrategia: C_stratified (estratificado por columna categórica)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000079551	chr1	52088228	52088763	hg19	chr1	51622556	51623091	hg38	0.95	1	-	-	30247654	EBC-1	CAGE	-	HACER	OSBPL9	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00007358075	chr6	32587968	32594708	hg19	chr6	32620191	32626931	hg38	0.95	1	AE_hg19_GM12878_21933	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21933	30247654	Nerve_Tibial	-	-	HACER	HLA-DQB1	30247654	-	-	-	-	-	-	-	rs9271523	30247654	overlap
CRMHS00000082819	chr10	5333644	5334212	hg19	chr10	5291681	5292249	hg38	0.95	1	-	-	30247654	U-937 DE-4	CAGE	-	HACER	AKR1C3	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000098222	chr16	87781357	87781475	hg19	chr16	87747751	87747869	hg38	0.95	1	-	-	30247654	KCL-22	CAGE	-	HACER	C16orf95	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000100172	chr17	62773066	62773435	hg19	chr17	64776948	64777317	hg38	0.95	1	-	-	30247654	KHM-5M	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000103147	chr19	15310768	15311119	hg19	chr19	15199957	15200308	hg38	0.95	1	-	-	30247654	A431	CAGE	-	HACER	NOTCH3	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000100951	chr17	77117014	77117407	hg19	chr17	79120932	79121325	hg38	0.95	1	-	-	30247654	NCI-H82	CAGE	-	HACER	ENGASE	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000131781	chr7	44616133	44616490	hg19	chr7	44576534	44576891	hg38	0.95	1	-	-	30247654	MKN45	CAGE	-	HACER	OGDH	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000090106	chr12	93320988	93321201	hg19	chr12	92927212	92927425	hg38	0.95	1	-	-	30247654	ARH-77	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00007334521	chr10	29327395	29329982	hg19	chr10	29038466	29041053	hg38	0.95	1	-	-	30247654	-	-	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000096679	chr16	20863043	20863195	hg19	chr16	20851721	20851873	hg38	0.95	1	-	-	30247654	Mero-14	CAGE	-	HACER	DCUN1D3	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000131432	chr7	3065152	3065430	hg19	chr7	3025518	3025796	hg38	0.95	1	-	-	30247654	DAUDI	CAGE	-	HACER	CARD11	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000110123	chr2	85664544	85665596	hg19	chr2	85437421	85438473	hg38	0.95	1	-	-	30247654	HuT 102 TIB-162	CAGE	-	HACER	CAPG	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000109496	chr2	6091756	6092149	hg19	chr2	5951624	5952017	hg38	0.95	1	-	-	30247654	WA-hT	CAGE	-	HACER	SILC1	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000094656	chr15	42226984	42227301	hg19	chr15	41934786	41935103	hg38	0.95	1	-	-	30247654	HS-ES-1	CAGE	-	HACER	VPS39	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000132091	chr7	5638553	5639025	hg19	chr7	5598922	5599394	hg38	0.95	1	-	-	30247654	HEK293	CAGE	-	HACER	FSCN1	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000094832	chr15	50995097	50995499	hg19	chr15	50702900	50703302	hg38	0.95	1	-	-	30247654	BALL-1	CAGE	-	HACER	TRPM7	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000087065	chr11	9770028	9770265	hg19	chr11	9748481	9748718	hg38	0.95	1	-	-	30247654	CTB-1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000089157	chr12	56876109	56876291	hg19	chr12	56482325	56482507	hg38	0.95	1	-	-	30247654	NEC15	CAGE	-	HACER	TIMELESS	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000086489	chr11	72381210	72381586	hg19	chr11	72670166	72670542	hg38	0.95	1	-	-	30247654	NH-12	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000079340	chr1	43402214	43402581	hg19	chr1	42936543	42936910	hg38	0.95	1	-	-	30247654	Hs 925.T	CAGE	-	HACER	SLC2A1	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000098589	chr17	17319893	17320013	hg19	chr17	17416579	17416699	hg38	0.95	1	-	-	30247654	EoL-1	CAGE	-	HACER	RPL13P12	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000102098	chr18	46733107	46733359	hg19	chr18	49206737	49206989	hg38	0.95	1	-	-	30247654	FU-RPNT-1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000083435	chr10	75004761	75005017	hg19	chr10	73245003	73245259	hg38	0.95	1	-	-	30247654	JMSU1	CAGE	-	HACER	-	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000089390	chr12	65997532	65998101	hg19	chr12	65603752	65604321	hg38	0.95	1	-	-	30247654	SNU-387	CAGE	-	HACER	-	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000128174	chr6	35570271	35570732	hg19	chr6	35602494	35602955	hg38	0.95	1	-	-	30247654	RPMI1788	CAGE	-	HACER	RPL10A	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000099436	chr17	42173050	42173151	hg19	chr17	44095682	44095783	hg38	0.95	1	-	-	30247654	ITO-II	CAGE	-	HACER	LSM12	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000093050	chr14	60679186	60679974	hg19	chr14	60212468	60213256	hg38	0.95	1	-	-	30247654	KU-SN	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000133280	chr8	119808728	119809168	hg19	chr8	118796489	118796929	hg38	0.95	1	-	-	30247654	ECC10	CAGE	-	HACER	TNFRSF11B	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000100125	chr17	61920991	61921115	hg19	chr17	63843631	63843755	hg38	0.95	1	-	-	30247654	NCC-IT-A3	CAGE	-	HACER	SMARCD2	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000085183	chr11	14356156	14356413	hg19	chr11	14334610	14334867	hg38	0.95	1	-	-	30247654	A172	CAGE	-	HACER	RRAS2	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000135673	chr8	75515244	75515546	hg19	chr8	74603009	74603311	hg38	0.95	1	-	-	30247654	TGBC14TKB	CAGE	-	HACER	-	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00000138111	chr9	71795556	71796114	hg19	chr9	69180640	69181198	hg38	0.95	1	-	-	30247654	LU65	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000078983	chr1	31770743	31770927	hg19	chr1	31297896	31298080	hg38	0.95	1	-	-	30247654	KHYG-1	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000123228	chr5	16715199	16715528	hg19	chr5	16715090	16715419	hg38	0.95	1	-	-	30247654	TEN	CAGE	-	HACER	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000134313	chr8	145558616	145559185	hg19	chr8	144334954	144335523	hg38	0.95	1	-	-	30247654	HelaS3 ENCODE	CAGE	-	HACER	HSF1	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
CRMHS00007358066	chr6	30760590	30762806	hg19	chr6	30792813	30795029	hg38	0.95	1	AE_hg19_GM12878_21924	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21924	30247654	Skin_Sun_Exposed_Lower_leg	-	-	HACER	HCG20	30247654	-	-	-	-	-	-	-	rs3131056	30247654	overlap
CRMHS00000130845	chr7	158167398	158167566	hg19	chr7	158374706	158374874	hg38	0.95	1	-	-	30247654	HuCCT1	CAGE	-	HACER	PTPRN2	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000106217	chr2	159996824	159997456	hg19	chr2	159140313	159140945	hg38	0.95	1	-	-	30247654	RAJI	CAGE	-	HACER	WDSUB1	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000132779	chr7	99962576	99962959	hg19	chr7	100364953	100365336	hg38	0.95	1	-	-	30247654	HS-PSS	CAGE	-	HACER	PILRA	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000114531	chr22	50977955	50978429	hg19	chr22	50539526	50540000	hg38	0.95	1	AE_hg19_GM12878-ENCODE_501345	http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878-ENCODE_501345	30247654	Thyroid	-	-	HACER	TYMP	30247654	-	-	-	-	-	-	-	rs140521	30247654	overlap
CRMHS00000130388	chr7	139365521	139365926	hg19	chr7	139680775	139681180	hg38	0.95	1	-	-	30247654	Ca Ski	CAGE	-	HACER	HIPK2	30247654	closest	-	-	-	-	-	-	-	-	-
CRMHS00000131806	chr7	45244610	45244975	hg19	chr7	45205011	45205376	hg38	0.95	1	-	-	30247654	ATN-1	CAGE	-	HACER	MYO1G	30247654	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000122370	chr5	139023017	139023340	hg19	chr5	139643432	139643755	hg38	0.95	1	-	-	30247654	JHUCS-1	CAGE	-	HACER	CXXC5	30247654	distance_50kb	-	-	-	-	-	-	-	-	-
