# Base de datos: dbSUPER
# Descripción: Super-enhancers con coordenadas, líneas celulares y genes diana
# Fuente: https://asntech.org/dbsuper/
# Dimensiones totales: 69022 filas, 30 columnas
# Filas en esta muestra: 25
# Estrategia: B_random (aleatorio, semilla fija)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000021421	chr11	85236256	85254195	hg19	chr11	85525212	85543151	hg38	0.95	1	SE_33200	https://asntech.org/dbsuper/details.php?se_id=SE_33200	24119843	H1	H3K27ac	super-enhancer	dbSUPER	DLG2	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000038881	chr18	42330712	42346121	hg19	chr18	44750747	44766156	hg38	0.95	1	SE_10721	https://asntech.org/dbsuper/details.php?se_id=SE_10721	24119843	CD19 Primary	H3K27ac	super-enhancer	dbSUPER	SETBP1	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000067017	chr7	1570257	1578431	hg19	chr7	1530621	1538795	hg38	0.95	1	SE_58039	https://asntech.org/dbsuper/details.php?se_id=SE_58039	24119843	VACO 9m	H3K27ac	super-enhancer	dbSUPER	MAFK	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000023844	chr12	49579769	49629822	hg19	chr12	49185986	49236039	hg38	0.95	1	SE_04162	https://asntech.org/dbsuper/details.php?se_id=SE_04162	24119843	Brain Anterior Caudate	H3K27ac	super-enhancer	dbSUPER	TUBA1A	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000036054	chr17	48103059	48145474	hg19	chr17	50025695	50068110	hg38	0.95	1	SE_47267	https://asntech.org/dbsuper/details.php?se_id=SE_47267	24119843	Panc1	H3K27ac	super-enhancer	dbSUPER	ITGA3	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000008158	chr1	15735466	15759155	hg19	chr1	15408970	15432659	hg38	0.95	1	SE_24853	https://asntech.org/dbsuper/details.php?se_id=SE_24853	24119843	Colon Crypt 3	H3K27ac	super-enhancer	dbSUPER	EFHD2	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000071580	chr9	117659491	117673290	hg19	chr9	114897211	114911010	hg38	0.95	1	SE_44025	https://asntech.org/dbsuper/details.php?se_id=SE_44025	24119843	MM1S	H3K27ac	super-enhancer	dbSUPER	TNFSF15	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000065113	chr6	42739277	42752564	hg19	chr6	42771539	42784826	hg38	0.95	1	SE_13047	https://asntech.org/dbsuper/details.php?se_id=SE_13047	24119843	CD34 Primary RO01480	H3K27ac	super-enhancer	dbSUPER	TBCC	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000008385	chr1	16059323	16065088	hg19	chr1	15732828	15738593	hg38	0.95	1	SE_24360	https://asntech.org/dbsuper/details.php?se_id=SE_24360	24119843	Colon Crypt 2	H3K27ac	super-enhancer	dbSUPER	SLC25A34	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000053303	chr3	124825912	124850371	hg19	chr3	125107068	125131527	hg38	0.95	1	SE_35169	https://asntech.org/dbsuper/details.php?se_id=SE_35169	24119843	HeLa	H3K27ac	super-enhancer	dbSUPER	HEG1	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000037570	chr17	75441040	75452971	hg19	chr17	77444958	77456889	hg38	0.95	1	SE_47916	https://asntech.org/dbsuper/details.php?se_id=SE_47916	24119843	Pancreas	H3K27ac	super-enhancer	dbSUPER	SEPTIN9	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000073466	chr9	6680234	6716659	hg19	chr9	6680234	6716659	hg38	0.95	1	SE_54413	https://asntech.org/dbsuper/details.php?se_id=SE_54413	24119843	Spleen	H3K27ac	super-enhancer	dbSUPER	KDM4C	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000056517	chr4	10001248	10035411	hg19	chr4	9999624	10033787	hg38	0.95	1	SE_36611	https://asntech.org/dbsuper/details.php?se_id=SE_36611	24119843	HMEC	H3K27ac	super-enhancer	dbSUPER	SLC2A9	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000023228	chr12	1866584	1907246	hg19	chr12	1757418	1798080	hg38	0.95	1	SE_07152	https://asntech.org/dbsuper/details.php?se_id=SE_07152	24119843	Brain Hippocampus Middle 150	H3K27ac	super-enhancer	dbSUPER	LRTM2	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000060946	chr5	40832677	40837540	hg19	chr5	40832575	40837438	hg38	0.95	1	SE_34950	https://asntech.org/dbsuper/details.php?se_id=SE_34950	24119843	HeLa	H3K27ac	super-enhancer	dbSUPER	RPL37	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000010030	chr1	205216538	205294796	hg19	chr1	205247410	205325668	hg38	0.95	1	SE_65493	https://asntech.org/dbsuper/details.php?se_id=SE_65493	26438538	Pancreatic islets	H3K27ac	super-enhancer	dbSUPER	NUAK2	26438538	closest	-	-	-	-	-	-	-	-	-
CRMHS00000072124	chr9	131386397	131399570	hg19	chr9	128624118	128637291	hg38	0.95	1	SE_42025	https://asntech.org/dbsuper/details.php?se_id=SE_42025	24119843	LNCaP	H3K27ac	super-enhancer	dbSUPER	DYNC2I2	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000041850	chr19	45904621	45911017	hg19	chr19	45401363	45407759	hg38	0.95	1	SE_35180	https://asntech.org/dbsuper/details.php?se_id=SE_35180	24119843	HeLa	H3K27ac	super-enhancer	dbSUPER	PPP1R13L	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000037951	chr17	79300868	79339893	hg19	chr17	81327068	81366093	hg38	0.95	1	SE_28689	https://asntech.org/dbsuper/details.php?se_id=SE_28689	24119843	Fetal Intestine Large	H3K27ac	super-enhancer	dbSUPER	TMEM105	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000034991	chr17	37816024	37836546	hg19	chr17	39659771	39680293	hg38	0.95	1	SE_49483	https://asntech.org/dbsuper/details.php?se_id=SE_49483	24119843	Right Ventricle	H3K27ac	super-enhancer	dbSUPER	PNMT	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000014268	chr10	104362175	104409838	hg19	chr10	102602418	102650081	hg38	0.95	1	SE_01828	https://asntech.org/dbsuper/details.php?se_id=SE_01828	24119843	Aorta	H3K27ac	super-enhancer	dbSUPER	TRIM8	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000041688	chr19	42771788	42790847	hg19	chr19	42267636	42286695	hg38	0.95	1	SE_13217	https://asntech.org/dbsuper/details.php?se_id=SE_13217	24119843	CD34 Primary RO01480	H3K27ac	super-enhancer	dbSUPER	ERF	24119843	closest	-	-	-	-	-	-	-	-	-
CRMHS00000062685	chr6	138246267	138298026	hg19	chr6	137925130	137976889	hg38	0.95	1	SE_67205	https://asntech.org/dbsuper/details.php?se_id=SE_67205	23582323	MM1S	MED1	super-enhancer	dbSUPER	TNFAIP3	23582323	closest	-	-	-	-	-	-	-	-	-
CRMHS00000054157	chr3	15809857	15840441	hg19	chr3	15768350	15798934	hg38	0.95	1	SE_64783	https://asntech.org/dbsuper/details.php?se_id=SE_64783	26438538	NHEK	H3K27ac	super-enhancer	dbSUPER	ANKRD28	26438538	closest	-	-	-	-	-	-	-	-	-
