# Base de datos: DiseaseEnhancer
# Descripción: Enhancers asociados a enfermedades
# Fuente: http://biocc.hrbmu.edu.cn/DiseaseEnhancer/
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refseq_ID	mutation_PMID	mutation_method
CRMHS00000001594	chr5	124651163	124654187	hg19	chr5	125315470	125318494	hg38	0.95	1.0	DE_00314	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	OMIM:169500	25701871	-	-	-	-
CRMHS00000001594	chr5	124651163	124654187	hg19	chr5	125315470	125318494	hg38	0.95	1.0	DE_00314	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	DOID:0060785	25701871	-	-	-	-
CRMHS00000001595	chr5	124708335	124710392	hg19	chr5	125372642	125374699	hg38	0.95	1.0	DE_00313	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	OMIM:169500	25701871	-	-	-	-
CRMHS00000001595	chr5	124708335	124710392	hg19	chr5	125372642	125374699	hg38	0.95	1.0	DE_00313	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	DOID:0060785	25701871	-	-	-	-
CRMHS00000001596	chr5	125344507	125346243	hg19	chr5	126008814	126010550	hg38	0.95	1.0	DE_00315	-	25701871	-	-	-	DiseaseEnhancer	LMNB1	25701871	-	-	-	-	OMIM:169500	25701871	-	-	-	-
CRMHS00000005971	chr3	185499202	185517400	hg19	chr3	185781414	185799612	hg38	0.95	1.0	DE_00598	-	21035756	-	-	-	DiseaseEnhancer	IGF2BP2	21035756	-	-	-	-	DOID:9352	21035756	-	rs7640539	21035756	-
CRMHS00000005908	chr2	202204602	202204800	hg19	chr2	201339879	201340077	hg38	0.95	1.0	DE_00408	-	26795348	-	-	-	DiseaseEnhancer	CASP8	26795348	-	-	-	-	DOID:1612	26795348	-	rs10197246	26795348	-
CRMHS00000006099	chr8	128398602	128417000	hg19	chr8	127386357	127404755	hg38	0.95	1.0	DE_00377	-	23832660	-	-	-	DiseaseEnhancer	MYC	23832660	-	-	-	-	OMIM:176807	23832660	-	rs6983267	23832660	-
CRMHS00027685537	chr4	101083002	101083200	hg19	chr4	100161845	100162043	hg38	0.95	1.0	DE_00830	-	27869826	-	-	-	DiseaseEnhancer	PPP3CA	27869826	-	-	-	-	OMIM:114550	27869826	-	-	-	-
CRMHS00000006024	chr5	25966202	25968000	hg19	chr5	25966093	25967891	hg38	0.95	1.0	DE_00556	-	27503586	-	-	-	DiseaseEnhancer	-	-	-	-	-	-	DOID:0060041	27503586	-	rs4307059	27503586	-
CRMHS00000005889	chr18	46440202	46475000	hg19	chr18	48913832	48948630	hg38	0.95	1.0	DE_00586	-	25375357	-	-	-	DiseaseEnhancer	SMAD7	25375357	-	-	-	-	DOID:9256	25375357	-	rs58920878	25375357	-
CRMHS00027685859	chr8	139804402	139806200	hg19	chr8	138792159	138793957	hg38	0.95	1.0	DE_00951	-	27869826	-	-	-	DiseaseEnhancer	FAM135B	27869826	-	-	-	-	DOID:2526	27869826	-	-	-	-
CRMHS00027685621	chr16	30669100	30671100	hg19	chr16	30657779	30659779	hg38	0.95	1.0	DE_00702	-	27723759	-	-	-	DiseaseEnhancer	CFAP119	27723759	-	-	-	-	mesh:D001943	27723759	-	-	-	-
CRMHS00000006035	chr6	151948602	151950000	hg19	chr6	151627467	151628865	hg38	0.95	1.0	DE_00602	-	26928228	-	-	-	DiseaseEnhancer	ESR1	26928228	-	-	-	-	mesh:D001943	26928228	-	rs6557160	26928228	-
CRMHS00000005956	chr3	138949637	138949735	hg19	chr3	139230795	139230893	hg38	0.95	1.0	DE_00276	-	19543368	-	-	-	DiseaseEnhancer	FOXL2	19543368	-	-	-	-	DOID:10348	19543368	-	-	-	-
CRMHS00000005984	chr3	187800876	187841876	hg19	chr3	188083088	188124088	hg38	0.95	1.0	DE_00007	-	26229090	-	-	-	DiseaseEnhancer	BCL6	26229090	-	-	-	-	OMIM:613065	26229090	-	-	-	-
CRMHS00027685734	chr17	7531602	7539800	hg19	chr17	7628284	7636482	hg38	0.95	1.0	DE_00232	-	27723759	-	-	-	DiseaseEnhancer	TP53	27723759	-	-	-	-	OMIM:114480	27723759	-	-	-	-
CRMHS00027685541	chrX	23575002	23575800	hg19	chrX	23556885	23557683	hg38	0.95	1.0	DE_00985	-	27869826	-	-	-	DiseaseEnhancer	PTCHD1	27869826	-	-	-	-	DOID:4006	27869826	-	-	-	-
CRMHS00000006103	chr8	128530873	128532873	hg19	chr8	127518628	127520628	hg38	0.95	1.0	DE_00442	-	19680443	-	-	-	DiseaseEnhancer	MYC	19680443	-	-	-	-	mesh:D011471	19680443	-	rs11988857	19680443	-
CRMHS00000005821	chr12	58163402	58165600	hg19	chr12	57769619	57771817	hg38	0.95	1.0	DE_00429	-	23160276	-	-	-	DiseaseEnhancer	TSPAN31	23160276	-	-	-	-	mesh:D009103	23160276	-	rs10877013	23160276	-
CRMHS00027685681	chr10	8372002	8377000	hg19	chr10	8330039	8335037	hg38	0.95	1.0	DE_00048	-	27723759	-	-	-	DiseaseEnhancer	GATA3	27723759	-	-	-	-	OMIM:114480	27723759	-	-	-	-
CRMHS00000005907	chr2	200779737	200781737	hg19	chr2	199915014	199917014	hg38	0.95	1.0	DE_00548	-	25453756	-	-	-	DiseaseEnhancer	TYW5	25453756	-	-	-	-	DOID:5419	25453756	-	rs35220450	25453756	-
