# Base de datos: FANTOM5
# Descripción: Enhancers activos identificados por CAGE-seq
# Fuente: https://fantom.gsc.riken.jp/5/
# Dimensiones totales: 96932 filas, 30 columnas
# Filas en esta muestra: 200
# Estrategia: C_stratified (estratificado por columna categórica)

# MUESTRA DE DATOS (formato TSV):

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	hgnc_symbol_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000085114	chr11	132276732	132277095	hg19	chr11	132406838	132407201	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000079042	chr1	33202470	33202806	hg19	chr1	32736869	32737205	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	NHSL3	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000108437	chr2	242702443	242702859	hg19	chr2	241763028	241763444	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	D2HGDH	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000097529	chr16	67867011	67867153	hg19	chr16	67833108	67833250	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	TPPP3	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000131597	chr7	37775903	37776023	hg19	chr7	37736301	37736421	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	NME8	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000082671	chr10	4713647	4713873	hg19	chr10	4671455	4671681	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000117277	chr3	32426467	32426762	hg19	chr3	32384975	32385270	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000095051	chr15	59698541	59698940	hg19	chr15	59406342	59406741	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	FAM81A	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000112220	chr20	62435328	62435422	hg19	chr20	63803975	63804069	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	DNAJC5	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000125693	chr6	114167209	114167452	hg19	chr6	113846022	113846265	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	MARCKS	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000116099	chr3	16024262	16024670	hg19	chr3	15982755	15983163	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000091883	chr13	91487556	91487886	hg19	chr13	90835302	90835632	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000092699	chr14	44437752	44437871	hg19	chr14	43968549	43968668	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000100607	chr17	72623135	72623307	hg19	chr17	74626996	74627168	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	CD300E	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000114021	chr22	37813025	37813137	hg19	chr22	37416986	37417098	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	TRIOBP	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000110752	chr20	23084032	23084273	hg19	chr20	23103395	23103636	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	CD93	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000103985	chr19	42289644	42289819	hg19	chr19	41785737	41785912	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000136518	chr9	116036635	116036980	hg19	chr9	113274355	113274700	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	FKBP15	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000087300	chr12	109010746	109010939	hg19	chr12	108616970	108617163	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	SSH1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000116097	chr3	160177930	160178178	hg19	chr3	160460142	160460390	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000132610	chr7	92290698	92291011	hg19	chr7	92661384	92661697	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000075134	chr1	111265440	111265838	hg19	chr1	110722818	110723216	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	LRIF1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000137644	chr9	21653394	21653677	hg19	chr9	21653395	21653678	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	KLHL9	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000085652	chr11	35347989	35348102	hg19	chr11	35326442	35326555	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000117761	chr3	49275888	49276379	hg19	chr3	49238455	49238946	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	AMIGO3	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000115991	chr3	156356152	156356341	hg19	chr3	156638363	156638552	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000088051	chr12	131510828	131511048	hg19	chr12	131026283	131026503	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000118570	chr3	98270793	98270966	hg19	chr3	98551949	98552122	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	CLDND1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000132514	chr7	86275254	86275414	hg19	chr7	86645938	86646098	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ELAPOR2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000132999	chr8	105760007	105760242	hg19	chr8	104747779	104748014	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	DCSTAMP	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000079136	chr1	36617554	36617914	hg19	chr1	36151953	36152313	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	STK40	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000079386	chr1	44354357	44354471	hg19	chr1	43888685	43888799	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	IPO13	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000104282	chr19	48103581	48103982	hg19	chr19	47600324	47600725	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	INAFM1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000101236	chr17	8323983	8324286	hg19	chr17	8420665	8420968	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	PER1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000136913	chr9	129090797	129090964	hg19	chr9	126328518	126328685	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ZBTB43	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000122781	chr5	148591795	148592037	hg19	chr5	149212232	149212474	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ABLIM3	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000134621	chr8	23655999	23656321	hg19	chr8	23798486	23798808	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	STC1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000133936	chr8	133689212	133689471	hg19	chr8	132676966	132677225	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	PHF20L1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000092310	chr14	21265465	21265591	hg19	chr14	20797306	20797432	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ARHGEF40	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000100016	chr17	58467674	58467818	hg19	chr17	60390313	60390457	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	CA4	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000100364	chr17	66817214	66817283	hg19	chr17	68821073	68821142	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000112848	chr21	37222368	37222731	hg19	chr21	35850070	35850433	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	MORC3	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000126436	chr6	139841535	139841931	hg19	chr6	139520398	139520794	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	HECA	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000109125	chr2	43692800	43693176	hg19	chr2	43465661	43466037	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000131242	chr7	26193570	26193972	hg19	chr7	26153950	26154352	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	SNX10	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000101710	chr18	30726019	30726343	hg19	chr18	33146055	33146379	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000106566	chr2	174776201	174776462	hg19	chr2	173911473	173911734	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000105569	chr2	127838302	127838430	hg19	chr2	127080726	127080854	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	MAP3K2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000120235	chr4	21714034	21714408	hg19	chr4	21712411	21712785	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000089594	chr12	71197742	71197870	hg19	chr12	70803962	70804090	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000082983	chr10	6190431	6190630	hg19	chr10	6148468	6148667	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	IL15RA	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000094215	chr15	22449488	22449632	hg19	chr15	22161537	22161681	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000078649	chr1	247523464	247523760	hg19	chr1	247360162	247360458	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	AHCTF1	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000132722	chr7	96642145	96642338	hg19	chr7	97012833	97013026	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	DLX6	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000083897	chr10	91020368	91020477	hg19	chr10	89260611	89260720	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	IFIT2	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000098557	chr17	1626372	1626653	hg19	chr17	1723078	1723359	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	PITPNA	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000120537	chr4	3836768	3837443	hg19	chr4	3835041	3835716	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000085228	chr11	16457424	16457760	hg19	chr11	16435877	16436213	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	SOX6	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000095263	chr15	66162838	66163256	hg19	chr15	65870500	65870918	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000085283	chr11	1863948	1864140	hg19	chr11	1842718	1842910	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	IFITM10	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000094290	chr15	26864879	26864942	hg19	chr15	26619732	26619795	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	-	-	-	-	-	-	-	-	-	-	-	-
CRMHS00000085935	chr11	5300063	5300226	hg19	chr11	5278833	5278996	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	HBD	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000104962	chr2	101944860	101945306	hg19	chr2	101328398	101328844	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	RNF149	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000075506	chr1	146624494	146624779	hg19	chr1	147152915	147153200	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	CHD1L	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000127959	chr6	30735359	30735715	hg19	chr6	30767582	30767938	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	PPP1R18	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000082625	chr10	45453721	45453921	hg19	chr10	44958273	44958473	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	ALOX5	24670763	expression correlation	-	-	-	-	-	-	-	-	-
CRMHS00000128023	chr6	32405012	32405514	hg19	chr6	32437235	32437737	hg38	0.95	1	-	-	24670763	-	CAGE	-	FANTOM5	STK19	24670763	expression correlation	-	-	-	-	-	-	-	-	-
