crm_ID,orig_chr,orig_start,orig_end,orig_assembly,current_chr,current_start,current_end,current_assembly,minimum_ratio,score,original_ID,crossref,enh_PMID,biosample_name,enh_method,type,source,hgnc_symbol_target_genes,enh2gene_PMID,enh2gene_method,hgnc_symbol_TFs,TFs2enh_PMID,TFs2enh_method,disease,disease_PMID,disease_method,refsnp_ID,mutation_PMID,mutation_method
CRMHS00000078104,chr1,230249347,230250007,hg19,chr1,230113600,230114260,hg38,0.95,1.0,-,-,30247654,SKG-II-SF,CAGE,-,HACER,GALNT2,30247654,closest,-,-,-,-,-,-,-,-,-
CRMHS00007357114,chr19,42054235,42067192,hg19,chr19,41547867,41560822,hg38,0.95,0.999845655193703,AE_hg19_GM12878_20972,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20972,30247654,Adipose_Subcutaneous,-,-,HACER,-,-,-,-,-,-,-,-,-,rs34631471,30247654,overlap
CRMHS00007356973,chr17,41391760,41402104,hg19,chr17,43314406,43324736,hg38,0.95,0.998646689221846,AE_hg19_GM12878_20830,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20830,30247654,Artery_Coronary,-,-,HACER,NBR2,30247654,-,-,-,-,-,-,-,rs34537540,30247654,overlap
CRMHS00007358105,chr6,56690273,56718040,hg19,chr6,56825475,56853242,hg38,0.95,1.0,AE_hg19_GM12878_21963,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21963,30247654,Brain_Frontal_Cortex_BA9,-,-,HACER,BEND6,30247654,-,-,-,-,-,-,-,rs34896026,30247654,overlap
CRMHS00007356744,chr15,102280150,102306418,hg19,chr15,101739947,101766215,hg38,0.95,1.0,AE_hg19_GM12878_20601,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20601,30247654,Heart_Atrial_Appendage,-,-,HACER,TM2D3,30247654,-,-,-,-,-,-,-,rs2456491,30247654,overlap
CRMHS00000118585,chr3,98504725,98505044,hg19,chr3,98785881,98786200,hg38,0.95,1.0,AE_hg19_GM12878-ENCODE_501887,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878-ENCODE_501887,30247654,Artery_Aorta,-,-,HACER,ST3GAL6,30247654,-,-,-,-,-,-,-,rs4425200,30247654,overlap
CRMHS00000087530,chr12,116990477,116990812,hg19,chr12,116552672,116553007,hg38,0.95,1.0,AE_hg19_GM12878-ENCODE_494250,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878-ENCODE_494250,30247654,Thyroid,-,-,HACER,LINC00173,30247654,-,-,-,-,-,-,-,rs76316153,30247654,overlap
CRMHS00007357158,chr2,132425093,132431568,hg19,chr2,131667520,131673995,hg38,0.95,1.0,AE_hg19_GM12878_21016,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21016,30247654,Adrenal_Gland,-,-,HACER,C2orf27A,30247654,-,-,-,-,-,-,-,rs6429855,30247654,overlap
CRMHS00007358137,chr7,100890572,100899209,hg19,chr7,101247291,101255928,hg38,0.95,1.0,AE_hg19_GM12878_21995,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21995,30247654,Spleen,-,-,HACER,ZNHIT1,30247654,-,-,-,-,-,-,-,rs10252506,30247654,overlap
CRMHS00007357505,chr22,41410194,41421357,hg19,chr22,41014190,41025353,hg38,0.95,1.0,AE_hg19_GM12878_21363,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21363,30247654,Heart_Left_Ventricle,-,-,HACER,MEI1,30247654,-,-,-,-,-,-,-,rs4821981,30247654,overlap
CRMHS00007357791,chr5,138903862,138935032,hg19,chr5,139524277,139555447,hg38,0.95,1.0,AE_hg19_GM12878_21649,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_21649,30247654,Esophagus_Mucosa,-,-,HACER,DNAJC18,30247654,-,-,-,-,-,-,-,rs2434576,30247654,overlap
CRMHS00007356368,chr11,47414693,47419052,hg19,chr11,47393142,47397501,hg38,0.95,1.0,AE_hg19_GM12878_20221,http://bioinfo.vanderbilt.edu/AE/HACER/detail.php?id=AE_hg19_GM12878_20221,30247654,Brain_Nucleus_accumbens_basal_ganglia,-,-,HACER,MTCH2,30247654,-,-,-,-,-,-,-,rs58965622,30247654,overlap
